Angst with a Happy Ending,freq
Harry Potter,883
Draco Malfoy,831
Hermione Granger,393
Sirius Black,364
Remus Lupin,363
Severus Snape,165
James Potter,91
Original Female Character,81
Reader,73
Ron Weasley,65
Ginny Weasley,60
Lily Evans Potter,59
none,50
Regulus Black,40
Fred Weasley,38
Scorpius Malfoy,37
George Weasley,36
Tom Riddle,36
Albus Severus Potter,33
Original Percival Graves,29
Voldemort,27
Pansy Parkinson,26
Newt Scamander,24
Credence Barebone,24
Lucius Malfoy,21
Luna Lovegood,20
Teddy Lupin,19
James Sirius Potter,18
Theodore Nott,18
Percy Weasley,17
Neville Longbottom,15
Tina Goldstein,15
Original Character,14
Original Male Character,14
Nymphadora Tonks,12
Charlie Weasley,11
Cedric Diggory,11
Oliver Wood,10
Narcissa Black Malfoy,10
Blaise Zabini,9
Seamus Finnigan,9
Astoria Greengrass,8
Bellatrix Black Lestrange,8
Gellert Grindelwald,8
Tony Stark,8
Loki ,7
Peter Pettigrew,7
Dean Thomas,7
Albus Dumbledore,7
Kylo Ren,7
Rey,7
Theseus Scamander,7
Lavender Brown,6
Cho Chang,6
Rose Weasley,6
Angelina Johnson,5
Finn O&#39;Hara,5
James Bucky Barnes,5
Fleur Delacour,5
Marlene McKinnon,5
Bill Weasley,5
Leo Knut,4
Jeon Jungkook,4
Petunia Evans Dursley,4
Andromeda Black Tonks,4
Marcus Flint,4
Dudley Dursley,3
Antonin Dolohov,3
Logan Tremblay (lumosinlove),3
Harry Styles,3
Stiles Stilinski,3
Victoire Weasley,3
Lily Evans,3
Peter Parker,3
Queenie Goldstein,3
Minerva McGonagall,3
Daphne Greengrass,3
Dean Winchester,3
Ted Tonks,3
Geralt z Rivii | Geralt of Rivia,3
Steve Rogers,3
Penelope Clearwater,3
Merula Snyde,3
Thorfinn Rowle,3
Anakin Skywalker,2
Audrey Weasley,2
Bartemius Crouch Jr.,2
Everyone,2
Miya Atsumu,2
Park Jimin,2
Godric Gryffindor,2
Dorcas Meadowes,2
Death,2
Hannah Abbott,2
Jughead Jones,2
Kim Taehyung | V,2
Nico di Angelo,2
Will Solace,2
Castiel,2
Cormac McLaggen,2
Padma Patil,2
