Angst,freq
Harry Potter,2808
Draco Malfoy,2726
Hermione Granger,1639
Sirius Black,1546
Remus Lupin,1353
Severus Snape,815
none,702
Original Female Character,490
James Potter,439
Reader,356
Lily Evans Potter,336
Tom Riddle,296
Ron Weasley,279
Regulus Black,225
Ginny Weasley,217
Voldemort,164
Fred Weasley,160
Scorpius Malfoy,143
Albus Dumbledore,132
Bellatrix Black Lestrange,130
Gellert Grindelwald,116
Pansy Parkinson,115
Albus Severus Potter,114
George Weasley,113
Lucius Malfoy,104
Narcissa Black Malfoy,92
Theodore Nott,89
Newt Scamander,73
Neville Longbottom,72
Luna Lovegood,72
Nymphadora Tonks,71
Original Character,70
Percy Weasley,61
Oliver Wood,60
Original Male Character,57
Marlene McKinnon,56
Blaise Zabini,54
James Sirius Potter,54
Teddy Lupin,53
Original Percival Graves,47
Charlie Weasley,44
Cedric Diggory,44
Minerva McGonagall,43
Fleur Delacour,43
Astoria Greengrass,40
Andromeda Black Tonks,36
Tina Goldstein,34
Rose Weasley,33
Marcus Flint,29
Peter Pettigrew,28
Lavender Brown,26
Bill Weasley,25
Credence Barebone,25
Theseus Scamander,23
Daphne Greengrass,22
Petunia Evans Dursley,22
Player Character,21
Ted Tonks,20
Arthur Weasley,20
Dorcas Meadowes,19
Seamus Finnigan,19
Steve Rogers,18
Merula Snyde,18
Lily Luna Potter,18
Tony Stark,17
Molly Weasley,17
Dean Thomas,17
Victoire Weasley,16
Rey,15
Parvati Patil,15
Queenie Goldstein,15
Leo Knut,14
Kylo Ren,14
Rodolphus Lestrange,14
Cho Chang,14
Percy Jackson,13
Nico di Angelo,13
Fenrir Greyback,13
Tom Riddle Sr.,13
James Bucky Barnes,13
Finn O&#39;Hara,12
Bartemius Crouch Jr.,12
wolfstar - Relationship,12
Walburga Black,12
Mary Macdonald,11
Will Solace,11
Loki ,10
Katie Bell,10
Salazar Slytherin,10
Dudley Dursley,10
Logan Tremblay (lumosinlove),9
Thorfinn Rowle,9
Viktor Krum,9
Hannah Abbott,9
Clint Barton,9
Aziraphale,8
Crowley ,8
Lily Evans,8
Antonin Dolohov,8
Susan Bones,8
Player Character (Hogwarts Mystery),8
