Angst,freq
Draco Malfoy,593
Harry Potter,559
Hermione Granger,458
Severus Snape,245
Sirius Black,135
Remus Lupin,122
Original Female Character,92
Tom Riddle,69
Reader,43
Ron Weasley,33
Bellatrix Black Lestrange,33
Voldemort,31
Lucius Malfoy,24
Theodore Nott,24
James Potter,21
Pansy Parkinson,19
Ginny Weasley,18
Fred Weasley,17
none,17
Albus Dumbledore,16
Lily Evans Potter,15
Gellert Grindelwald,15
Teddy Lupin,13
Blaise Zabini,13
Original Percival Graves,12
Charlie Weasley,11
Neville Longbottom,11
Narcissa Black Malfoy,11
Regulus Black,10
George Weasley,10
Nymphadora Tonks,8
Original Male Character,8
Thorfinn Rowle,8
Credence Barebone,8
Scorpius Malfoy,8
Bill Weasley,7
Newt Scamander,7
Original Character,7
James Sirius Potter,7
Fenrir Greyback,6
Oliver Wood,6
Luna Lovegood,6
Albus Severus Potter,6
Fleur Delacour,5
Theseus Scamander,5
Daphne Greengrass,4
Marcus Flint,4
Marlene McKinnon,4
Kylo Ren,4
Rey,4
Finn O&#39;Hara,3
Leo Knut,3
Andromeda Black Tonks,3
Ted Tonks,3
Astoria Greengrass,3
James Bucky Barnes,3
Scabior,3
Lavender Brown,3
Percy Weasley,3
Tina Goldstein,3
Dominique Weasley,3
Logan Tremblay (lumosinlove),2
Edward (Anita Blake),2
Jean - Claude (Anita Blake),2
Micah Callahan,2
Steve Rogers,2
Harry Styles,2
Louis Tomlinson,2
Millicent Bulstrode,2
Cedric Diggory,2
Cassandra Burke Goyle (Original Character),2
John Watson,2
Sherlock Holmes,2
Antonin Dolohov,2
Angelina Johnson,2
Minerva McGonagall,2
Player Character,2
Jeon Jungkook,2
Arthur Weasley,2
Loki ,2
Rabastan Lestrange,2
Clint Barton,2
Min Yoongi | Suga,2
Dean Winchester,2
Spike (BtVS),1
Natasha Romanov ,1
Circe Avery,1
Kyle Broflovski,1
Stan Marsh,1
Orion Amari,1
Arthur Morgan,1
Aster Potter,1
Severus Snape x Reader,1
James,1
Sirius,1
Miya Atsumu,1
Miya Osamu,1
Stan Shunpike,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Augustus Rookwood,1
