Art,freq
Harry Potter,348
Draco Malfoy,301
none,230
Hermione Granger,97
Severus Snape,82
Sirius Black,31
Remus Lupin,29
Newt Scamander,21
Ginny Weasley,18
Luna Lovegood,18
Tina Goldstein,16
Pansy Parkinson,14
Lucius Malfoy,12
Neville Longbottom,12
Teddy Lupin,11
Scorpius Malfoy,11
Albus Dumbledore,11
Charlie Weasley,10
Lily Evans Potter,9
Tom Riddle,9
Theodore Nott,9
Voldemort,9
Albus Severus Potter,9
Ron Weasley,7
James Sirius Potter,7
James Potter,6
Percy Weasley,6
Blaise Zabini,5
Narcissa Black Malfoy,5
Oliver Wood,5
Original Percival Graves,5
Fred Weasley,4
Original Female Character,4
Minerva McGonagall,4
Nymphadora Tonks,4
Daphne Greengrass,3
Gellert Grindelwald,3
James Bucky Barnes,3
Padma Patil,2
Parvati Patil,2
Original Character,2
George Weasley,2
Kingsley Shacklebolt,2
Viktor Krum,2
Thorfinn Rowle,2
Jacob Kowalski,2
Sam Winchester,2
Kylo Ren,2
Loki,2
Antonin Dolohov,2
Blair Waldorf,2
Darcy Lewis,2
Loki ,2
Tony Stark,2
Dean Thomas,2
Hugo Weasley,2
Rose Weasley,2
Gilderoy Lockhart,2
Alastor Moody,2
Arthur Weasley,2
Madam Rosmerta,2
Amelia Bones,2
Alphard Black,2
Hungarian Horntail,2
Marauders,2
Anthony DiNozzo,1
Jethro Gibbs,1
Harvey Bullock,1
Jim Gordon,1
Adrian Pucey,1
Clarke Griffin,1
Lexa,1
Klaus Hargreeves,1
Number Five | The Boy,1
Odo,1
Zuko (Avatar),1
Spock (Star Trek),1
Sabrina Spellman,1
Yennefer of Vengerberg,1
Bellatrix,1
Venom,1
Elsa (Disney),1
Otabek Altin,1
Yuri Plisetsky,1
Rey,1
Armitage Hux,1
TriDogMom,1
Captain Flint | James McGraw,1
Miranda Barlow,1
Thomas Hamilton,1
Eliot Waugh,1
John Watson,1
Natasha Romanov ,1
Thor ,1
Jon Snow,1
Jacob Black,1
Dracula,1
Edward Cullen,1
Malcolm Reynolds,1
Peter Pettigrew,1
Drarry - Relationship,1
