Auror Harry Potter,freq
Harry Potter,1181
Draco Malfoy,987
Hermione Granger,163
Ginny Weasley,75
Severus Snape,53
Ron Weasley,43
none,37
Tom Riddle,28
Voldemort,14
Pansy Parkinson,13
Theodore Nott,11
Scorpius Malfoy,11
Lucius Malfoy,10
Original Female Character,9
Blaise Zabini,9
Sirius Black,9
Charlie Weasley,8
Neville Longbottom,6
James Sirius Potter,5
Narcissa Black Malfoy,5
Original Character,4
Luna Lovegood,4
Teddy Lupin,4
Astoria Greengrass,4
Percy Weasley,3
George Weasley,3
Original Male Character,3
Antonin Dolohov,3
Minor or Background Relationship,3
Harry,3
Remus Lupin,3
James Potter,3
Drarry - Relationship,3
Bellatrix Black Lestrange,3
Lily Evans Potter,2
Albus Severus Potter,2
Peter Parker,2
Nymphadora Tonks,2
Daphne Greengrass,2
Fon (Katekyou Hitman Reborn!),2
Parvati Patil,2
Clint Barton,2
Ginny,2
Fleur Delacour,2
Oliver Wood,2
Adrian Pucey,1
Hestia Carrow,1
Aberforth Dumbledore,1
Goat,1
Talbott Winger,1
Millicent Bulstrode,1
Audrey Weasley,1
Hugo Weasley,1
Cormac McLaggen,1
Dudley Dursley,1
Victoire Weasley,1
Lavender Brown,1
Anneliese Rosier,1
Delphi,1
Terence Higgs,1
Ignotus Peverell,1
Anthony DiNozzo,1
Rabastan Lestrange,1
Tony Stark,1
Arthur Weasley,1
Molly Weasley,1
Reader,1
Heimdall ,1
Lily Luna Potter,1
Lysander Scamander,1
Rose Weasley,1
Fred Weasley,1
Abraxas Malfoy,1
Gladiolus Amicitia,1
Ignis Scientia,1
Noctis Lucis Caelum,1
Prompto Argentum,1
Alec Lightwood,1
Magnus Bane,1
Draco,1
Alec Hardison,1
Eliot Spencer,1
Parker,1
Billy The Beaut Russo,1
Flora Carrow,1
none tbh theyre kids,1
