Auror Harry Potter,freq
Harry Potter,371
Draco Malfoy,318
Hermione Granger,45
Severus Snape,24
Scorpius Malfoy,9
Ginny Weasley,8
Tom Riddle,7
Pansy Parkinson,7
Voldemort,6
Lucius Malfoy,5
Ron Weasley,5
Neville Longbottom,3
Charlie Weasley,3
James Sirius Potter,3
Antonin Dolohov,3
none,2
Percy Weasley,2
Theodore Nott,2
Nymphadora Tonks,2
Original Male Character,2
Luna Lovegood,1
Millicent Bulstrode,1
Audrey Weasley,1
Hugo Weasley,1
Cormac McLaggen,1
Astoria Greengrass,1
Remus Lupin,1
Rabastan Lestrange,1
Heimdall ,1
Oliver Wood,1
Rose Weasley,1
Abraxas Malfoy,1
Clint Barton,1
Bellatrix Black Lestrange,1
Billy The Beaut Russo,1
Flora Carrow,1
