BDSM,freq
Harry Potter,211
Draco Malfoy,180
Hermione Granger,167
Severus Snape,92
Sirius Black,43
Remus Lupin,42
Lucius Malfoy,25
Tom Riddle,21
Bellatrix Black Lestrange,21
Original Female Character,20
Voldemort,19
Ron Weasley,17
Ginny Weasley,15
Pansy Parkinson,13
Original Percival Graves,12
Reader,11
Narcissa Black Malfoy,9
Newt Scamander,9
Fred Weasley,7
Charlie Weasley,7
Theodore Nott,6
none,6
Luna Lovegood,6
George Weasley,6
James Potter,6
Neville Longbottom,5
Gellert Grindelwald,5
Original Male Character,5
Bill Weasley,4
Credence Barebone,4
Albus Dumbledore,4
Blaise Zabini,3
Fleur Delacour,3
Regulus Black,3
Teddy Lupin,3
Daphne Greengrass,3
Kingsley Shacklebolt,3
Cho Chang,3
Jethro Gibbs,2
Dolores Umbridge,2
Albus Severus Potter,2
James Sirius Potter,2
Torquil Travers,2
Other,2
Jason Voorhees,2
Colin Farrell,2
Aurora Sinistra,2
Scorpius Malfoy,2
Theseus Scamander,2
Hannibal Lecter,1
Will Graham,1
Antonin Dolohov,1
Asami Ryuichi,1
Gilderoy Lockhart,1
FemHarry (Juniper Potter),1
Goblins,1
Lauren Niemberg,1
Adrian Pucey,1
Frank Zhang,1
Percy Jackson,1
Slytherin Students,1
Argus Filch,1
Penelope Clearwater,1
Damon Salvatore,1
Margaery Tyrell,1
Everyone,1
Percy Weasley,1
Shiloe,1
Jemma Simmons,1
Delphi,1
Hermione,1
Multiples,1
ginny weasley,1
wade winston wilson (deadpool),1
Cormac McLaggen,1
Jared Padalecki,1
Jensen Ackles,1
Bartemius Crouch Jr.,1
Aragog,1
reader,1
Nymphadora Tonks,1
Merula Snyde,1
Player Character,1
Viktor Krum,1
Mistress M,1
Horse,1
Dominique Weasley,1
Tracey Davis,1
Carol,1
Doug Jones,1
Alastor Moody,1
fem!Jacob Kowalski,1
fem!Newt Scamander,1
Dr Stephen Strange,1
哈利•波特,1
西弗勒斯•斯内普,1
Anthony DiNozzo,1
Irene Cassini,1
Vincent Freeman,1
Lorcan Scamander,1
Lysander Scamander,1
