Book 5: Harry Potter and the Order of the Phoenix,freq
Harry Potter,228
Sirius Black,144
Remus Lupin,141
none,106
Draco Malfoy,94
Original Female Character,92
Hermione Granger,60
Severus Snape,48
Reader,37
Nymphadora Tonks,33
Ron Weasley,32
Voldemort,25
Ginny Weasley,23
Fred Weasley,22
George Weasley,21
Luna Lovegood,15
James Potter,15
Cedric Diggory,12
Tom Riddle,12
Lily Evans Potter,10
Regulus Black,9
Original Character,9
Bellatrix Black Lestrange,9
Albus Dumbledore,8
Neville Longbottom,8
Original Male Character,8
Fleur Delacour,8
Daphne Greengrass,8
Minerva McGonagall,7
Edward Elric,6
Percy Weasley,6
Gellert Grindelwald,5
Annabeth Chase,5
Percy Jackson,5
Pansy Parkinson,5
Marcus Flint,5
Arthur Weasley,5
Molly Weasley,5
Other,4
Lucius Malfoy,4
Charlie Weasley,4
Astoria Greengrass,4
Cho Chang,4
Blaise Zabini,4
Other Relationship Tags to Be Added,3
Allen Walker,3
Minor or Background Relationship,3
Bill Weasley,3
Hatake Kakashi,2
Nico di Angelo,2
Will Solace,2
Winry Rockbell,2
Narcissa Black Malfoy,2
Kanda Yuu,2
Katie Bell,2
Merlin (Merlin),2
Dolores Umbridge,2
Vernon Dursley,2
Orignal Character,2
Tracey Davis,2
Peter Pettigrew,2
Teddy Lupin,2
Dean Thomas,2
Theodore Nott,2
Marlene McKinnon,2
Riku,2
Sora (Kingdom Hearts),2
Amelia Bones,2
The Dursleys,2
Nara Shikako,2
Past Lily Evens Potter,1
i have no fucking clue - Relationship,1
Kuroba Kaito | Kaitou Kid,1
Nakamori Aoko,1
Kreacher,1
OFC,1
Death,1
No Romantic Relationship,1
John Watson,1
Sherlock Holmes,1
Cedric Diggory (past),1
Bartemius Crouch Jr.,1
Orion Black,1
Arthur Pendragon (Merlin),1
Merlin,1
Alma Karma,1
Harry Potter (mentioned),1
Poppy Pomfrey,1
pre Harry Potter,1
Millicent Bulstrode,1
Lucy Heartfilia,1
Natsu Dragneel,1
Angelina Johnson,1
Firenze,1
Rubeus Hagrid,1
James Potter x Lily Evans,1
Eventual Harry Potter,1
Loki,1
Sheev Palpatine,1
Flora Carrow,1
Gryffindor House - Relationship,1
