Book 5: Harry Potter and the Order of the Phoenix,freq
Harry Potter,37
Original Female Character,17
Remus Lupin,15
Sirius Black,15
Severus Snape,13
Draco Malfoy,8
Voldemort,6
Fred Weasley,5
Hermione Granger,5
Nymphadora Tonks,5
Tom Riddle,4
George Weasley,3
Marcus Flint,3
Cedric Diggory,2
Reader,2
Daphne Greengrass,2
Fleur Delacour,2
Percy Weasley,2
James Potter,1
Lily Evans Potter,1
Past Lily Evens Potter,1
Pansy Parkinson,1
Orion Black,1
Lucy Heartfilia,1
Natsu Dragneel,1
Undetermined!,1
Ron Weasley,1
Ginny Weasley,1
Other,1
Harem,1
Dolores Umbridge,1
Eileen Prince,1
Tobias Snape,1
Charlie Weasley,1
none,1
Vernon Dursley,1
Colin Creevey,1
Blaise Zabini,1
Aurora Sinistra,1
Lucius Malfoy,1
