Bottom Draco Malfoy,freq
Draco Malfoy,395
Harry Potter,356
Ron Weasley,9
Severus Snape,7
Neville Longbottom,6
Lucius Malfoy,4
Asami Ryuichi,3
Charlie Weasley,3
Original Male Character,2
Tom Riddle,2
Fenrir Greyback,2
Original Female Character,2
none,2
Other,2
Past Lily Evens Potter,1
Bellatrix Black Lestrange,1
Dean Thomas,1
Thomas Brodie - Sangster,1
Remus Lupin,1
Hermione Granger,1
Sung Jin - Woo,1
James Potter,1
Cedric Diggory,1
Viktor Krum,1
Blaise Zabini,1
Voldemort,1
Sexuales,1
Albus Severus Potter,1
Gregory Goyle,1
