Boys In Love,freq
Harry Potter,399
Draco Malfoy,342
Remus Lupin,119
Sirius Black,114
Scorpius Malfoy,40
Albus Severus Potter,30
Albus Dumbledore,24
James Sirius Potter,23
Severus Snape,22
Gellert Grindelwald,21
Seamus Finnigan,19
James Potter,18
Ron Weasley,18
Teddy Lupin,18
Original Male Character,17
Neville Longbottom,17
Regulus Black,14
Tom Riddle,11
Theodore Nott,9
Oliver Wood,9
Blaise Zabini,9
Marcus Flint,8
Dean Thomas,7
Cedric Diggory,5
Hugo Weasley,4
Fred Weasley,4
Charlie Weasley,3
Newt Scamander,3
Original Percival Graves,3
Lily Evans Potter,3
Lee Jordan,3
George Weasley,2
Lucas Wilson,2
Hermione Granger,2
none,2
Lucius Malfoy,2
Credence Barebone,2
Bartemius Crouch Jr.,2
Drarry - Relationship,2
Viktor Krum,2
Nico di Angelo,2
Will Solace,2
Leo Wyatt,1
Piper Halliwell,1
Orion Black,1
Walburga Black,1
Peter Pettigrew,1
Draco Malefoy,1
Jeon Jungkook,1
Min Yoongi | Suga,1
Bakugou Katsuki,1
Midoriya Izuku,1
Kingsley Shacklebolt,1
Ask Me,1
Girl Of Readerr Dreams,1
Ginny Weasley,1
harry,1
multiple,1
Minerva McGonagall,1
Poppy Pomfrey,1
Sam Winchester,1
Love - Relationship,1
Romantic - Relationship,1
Castiel,1
Dean Winchester,1
Gladio | Gladion,1
Uchiha Itachi,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay,1
Tsu&#39;tey te Rongloa Ateyitan,1
Voldemort,1
Loki,1
Tom Hiddleston,1
Lorcan Scamander,1
Filius Flitwick,1
Horace Slughorn,1
Evan Rosier,1
Wilkes,1
Akaashi Keiji,1
Bokuto Koutarou,1
John Watson,1
Sherlock Holmes,1
Benvolio Montague,1
Mercutio,1
Tybalt,1
Narcissa Black Malfoy,1
Original Character,1
Derek Hale,1
Stiles Stilinski,1
Rose Weasley,1
Percy Weasley,1
Cassius Warrington,1
Dudley Dursley,1
Gregory Goyle,1
