Boys In Love,freq
Harry Potter,65
Draco Malfoy,51
Sirius Black,13
Remus Lupin,9
Albus Dumbledore,9
Gellert Grindelwald,7
Severus Snape,7
James Sirius Potter,6
Teddy Lupin,5
Theodore Nott,4
Scorpius Malfoy,4
James Potter,2
Albus Severus Potter,2
Neville Longbottom,2
Ron Weasley,2
Newt Scamander,2
Ask Me,1
Girl Of Readerr Dreams,1
Castiel,1
Dean Winchester,1
Gladio | Gladion,1
Tom Riddle,1
Tsu&#39;tey te Rongloa Ateyitan,1
Cedric Diggory,1
Seamus Finnigan,1
Narcissa Black Malfoy,1
George Weasley,1
Credence Barebone,1
Original Percival Graves,1
Oliver Wood,1
Percy Weasley,1
Cassius Warrington,1
Viktor Krum,1
