Canon Compliant,freq
Harry Potter,38
Hermione Granger,31
Draco Malfoy,29
Severus Snape,27
Sirius Black,25
Remus Lupin,21
Original Female Character,17
Ginny Weasley,13
Ron Weasley,9
Bellatrix Black Lestrange,6
James Potter,6
Lucius Malfoy,5
Lily Evans Potter,5
Voldemort,5
Charlie Weasley,4
Nymphadora Tonks,4
Narcissa Black Malfoy,4
Fred Weasley,3
Albus Dumbledore,3
Gellert Grindelwald,3
Tom Riddle,2
Oliver Wood,2
Original Character,2
Reader,2
George Weasley,2
Marlene McKinnon,2
Fleur Delacour,2
Poppy Pomfrey,2
Hannibal Lecter,1
Will Graham,1
Neville Longbottom,1
Cassandra Burke Goyle (Original Character),1
oc,1
theo nott,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Merope Gaunt,1
Tom Riddle Sr.,1
Other,1
Kreacher,1
Regulus Black,1
Aberforth Dumbledore,1
Marcus Flint,1
Bartemius Crouch Jr.,1
Andromeda Black Tonks,1
Ted Tonks,1
James Potter (unrequited),1
Gilderoy Lockhart,1
Percy Weasley,1
Moaning Myrtle,1
Lavender Brown,1
Parvati Patil,1
Rabastan Lestrange,1
Blaise Zabini,1
Luna Lovegood,1
Pomona Sprout,1
Bill Weasley,1
Aurora Sinistra,1
Minerva McGonagall,1
Credence Barebone,1
Original Percival Graves,1
