Canonical Character Death,freq
Harry Potter,180
Sirius Black,169
Remus Lupin,142
none,119
Draco Malfoy,93
Severus Snape,92
Lily Evans Potter,92
James Potter,71
Hermione Granger,65
Regulus Black,54
Original Female Character,46
George Weasley,32
Albus Dumbledore,32
Fred Weasley,28
Ron Weasley,28
Reader,24
Ginny Weasley,24
Gellert Grindelwald,22
Cedric Diggory,19
Nymphadora Tonks,17
Lucius Malfoy,15
Bellatrix Black Lestrange,14
Andromeda Black Tonks,12
Narcissa Black Malfoy,12
Marlene McKinnon,12
Arthur Weasley,10
Percy Weasley,10
Ted Tonks,9
Tom Riddle,9
Voldemort,9
Molly Weasley,8
Luna Lovegood,8
Charlie Weasley,8
Dorcas Meadowes,6
Astoria Greengrass,6
Petunia Evans Dursley,6
Angelina Johnson,5
Bartemius Crouch Jr.,5
Minerva McGonagall,5
Evan Rosier,4
Marauders,4
Pansy Parkinson,4
Tom Riddle Sr.,4
Original Character,4
Death,4
Lavender Brown,4
Blaise Zabini,4
Mary Macdonald,3
Neville Longbottom,3
Peter Pettigrew,3
Merope Gaunt,3
Dean Thomas,3
Albus Severus Potter,3
Scorpius Malfoy,3
Bill Weasley,3
Cho Chang,3
Nico di Angelo,2
Will Solace,2
Kreacher,2
Audrey Weasley,2
Oliver Wood,2
Lily Evans,2
Seamus Finnigan,2
Original Male Character,2
Weasley Family,2
Gregory Goyle,2
Vincent Crabbe,2
Colin Creevey,2
Fenrir Greyback,2
Moaning Myrtle,2
Daphne Greengrass,2
Parvati Patil,2
Eileen Prince,2
Susan Bones,2
Rodolphus Lestrange,2
Charity Burbage,2
Greg Lestrade,1
John Watson,1
Eventual Sirius Black,1
James Potter and Remus,1
Lily,1
Kurusu Akira,1
Okumura Haru,1
Portgas D. Ace,1
Reyna Avila Ramírez - Arellano,1
Elsa (Disney),1
Myrium Valerian (Original Character),1
Taos Valerian (Original Character),1
Dobby,1
Mrs Thomas,1
Richard B. Riddick,1
Annabeth Chase,1
Percy Jackson,1
Dudley Dursley,1
Tony DiNozzo,1
Rick Grimes,1
Paige Matthews,1
Buffy Summers,1
Riley Finn,1
Euphemia Potter,1
Fleamont Potter,1
