Canonical Character Death,freq
Harry Potter,30
Draco Malfoy,23
Severus Snape,18
Hermione Granger,17
Remus Lupin,6
Reader,5
Original Female Character,5
Sirius Black,4
Ron Weasley,4
George Weasley,3
Bellatrix Black Lestrange,3
Albus Dumbledore,3
Lucius Malfoy,3
Ginny Weasley,3
Fred Weasley,2
none,2
Regulus Black,2
Gellert Grindelwald,2
Eventual Sirius Black,1
James Potter and Remus,1
Lily,1
Andromeda Black Tonks,1
Neville Longbottom,1
Pansy Parkinson,1
Richard B. Riddick,1
Narcissa Black Malfoy,1
Lavender Brown,1
Kreacher,1
James Potter,1
Lily Evans Potter,1
Rhaenys Targaryen,1
Fleur Delacour,1
Pennywise (It),1
Voldemort,1
Charlie Weasley,1
Bartemius Crouch Jr.,1
Original Character,1
Rabastan Lestrange,1
Edie Eisenhardt,1
Jakob Eisenhardt,1
Fenrir Greyback,1
Eileen Prince,1
Tobias Snape,1
Cedric Diggory,1
Edward (Anita Blake),1
Jean - Claude (Anita Blake),1
Micah Callahan,1
Theseus Scamander,1
Steve McGarrett,1
Aurora Sinistra,1
