Character Death,freq
Harry Potter,397
Draco Malfoy,344
Hermione Granger,284
none,171
Severus Snape,118
Sirius Black,100
Original Female Character,98
Remus Lupin,96
Tom Riddle,70
James Potter,62
Lily Evans Potter,50
Reader,44
Ron Weasley,36
Ginny Weasley,35
Voldemort,35
Regulus Black,34
Lucius Malfoy,26
Fred Weasley,25
Original Character,21
Luna Lovegood,17
Narcissa Black Malfoy,16
Pansy Parkinson,16
Scorpius Malfoy,14
George Weasley,13
Gellert Grindelwald,13
Bellatrix Black Lestrange,12
Cedric Diggory,12
Newt Scamander,12
Death,11
Marlene McKinnon,11
Albus Dumbledore,11
Nymphadora Tonks,10
Theodore Nott,9
Original Male Character,9
Albus Severus Potter,9
James Sirius Potter,9
Astoria Greengrass,9
Blaise Zabini,8
Neville Longbottom,8
Teddy Lupin,8
No Romantic Relationship,7
Marcus Flint,7
Lavender Brown,6
Salazar Slytherin,6
Percy Weasley,6
Daphne Greengrass,5
Dean Thomas,5
Original Percival Graves,5
Desmond Miles,5
Rose Weasley,4
Andromeda Black Tonks,4
Dorcas Meadowes,4
Edward (Anita Blake),4
Charlie Weasley,4
Seamus Finnigan,4
Tony Stark,4
Petunia Evans Dursley,4
Fenrir Greyback,4
Steve Rogers,3
Bartemius Crouch Jr.,3
Jean - Claude (Anita Blake),3
Micah Callahan,3
Godric Gryffindor,3
Parvati Patil,3
Millicent Bulstrode,3
Peter Pettigrew,3
Antonin Dolohov,3
Player Character,3
Rabastan Lestrange,3
Loki ,3
Tina Goldstein,3
Fleur Delacour,3
Jeon Jungkook,3
Helga Hufflepuff,3
Rowena Ravenclaw,3
Henry Emily,2
William Afton | Dave Miller,2
Arthur Weasley,2
Molly Weasley,2
Victoire Weasley,2
Euphemia Potter,2
Fleamont Potter,2
Percy Jackson,2
Bill Weasley,2
Kylo Ren,2
Cho Chang,2
James Bucky Barnes,2
Other,2
Legolas Greenleaf,2
Klaus Mikaelson,2
Edward Elric,2
Winry Rockbell,2
Minerva McGonagall,2
Rowan Khanna,2
Terence Higgs,2
Danny Fenton,2
Graham Montague,2
Clint Barton,2
Armitage Hux,2
Cor Leonis,2
Queenie Goldstein,2
