Character Death,freq
Draco Malfoy,86
Hermione Granger,82
Harry Potter,81
Severus Snape,33
Tom Riddle,18
Original Female Character,16
Reader,11
Voldemort,11
none,8
Pansy Parkinson,7
Remus Lupin,6
Sirius Black,6
Ginny Weasley,6
Lucius Malfoy,6
Ron Weasley,5
Bellatrix Black Lestrange,4
Edward (Anita Blake),4
Fred Weasley,3
Jean - Claude (Anita Blake),3
Micah Callahan,3
Regulus Black,3
Gellert Grindelwald,3
Marcus Flint,3
Original Percival Graves,3
Luna Lovegood,3
Fenrir Greyback,3
Newt Scamander,2
Nymphadora Tonks,2
Lily Evans Potter,2
Original Male Character,2
Peter Griffin,1
Sans,1
Former Harry Potter,1
Arthur Morgan,1
Aster Potter,1
Steve Rogers,1
Neville Longbottom,1
Gomez Addams,1
Morticia Addams,1
Bill Weasley,1
Player Character (Hogwarts Mystery),1
Frank Zhang,1
Percy Jackson,1
Daphne Greengrass,1
Godric Gryffindor,1
Death,1
Ianto Jones,1
Jack Harkness,1
Shane Walsh,1
Millicent Bulstrode,1
Klaus Mikaelson,1
Daryl Dixon,1
Tom Riddle Sr.,1
Narcissa Black Malfoy,1
not yet - Relationship,1
Benjen Stark,1
Eleonora Severin,1
Micah Callahan (Anita Blake),1
daenerys targaryen,1
dorian havilliard,1
No Romantic Relationship,1
Fleur Delacour,1
Kuroo Tetsurou,1
Tsukishima Kei,1
Bartemius Crouch Jr.,1
Original Character,1
Mystery Person,1
James Bucky Barnes,1
Desmond miles,1
harry potter,1
Credence Barebone,1
Xanxus (Katekyou Hitman Reborn!),1
Desmond Miles,1
Anthony DiNozzo,1
Jethro Gibbs,1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
Thorfinn Rowle,1
Leliana Evan - Black (Aster Potter),1
Oliver Queen,1
Loki ,1
Penelope Clearwater,1
Percy Weasley,1
Damon Salvatore,1
Dean Winchester,1
Armitage Hux,1
Chell,1
GLaDOS,1
Alastor,1
Angel Dust (Hazbin Hotel),1
Jason Voorhees,1
Albus Dumbledore,1
Blaise Zabini,1
Lavender Brown,1
Emmett Cullen,1
Other,1
Charlie Weasley,1
Rufus Scrimgeour,1
Aurora Sinistra,1
