Child Abuse,freq
Harry Potter,335
Sirius Black,166
none,154
Draco Malfoy,130
Remus Lupin,110
Severus Snape,110
James Potter,53
Original Female Character,53
Regulus Black,46
Hermione Granger,41
Lily Evans Potter,40
Tom Riddle,40
Voldemort,31
Ron Weasley,21
Lucius Malfoy,18
Ginny Weasley,12
Narcissa Black Malfoy,12
Petunia Evans Dursley,11
Original Male Character,10
Bellatrix Black Lestrange,10
Vernon Dursley,9
Reader,7
Blaise Zabini,7
Fred Weasley,6
Credence Barebone,6
Original Character,5
Neville Longbottom,5
George Weasley,5
Original Percival Graves,5
Cedric Diggory,5
Marlene McKinnon,4
Pansy Parkinson,4
Walburga Black,4
Luna Lovegood,4
The Dursleys,4
Peter Pettigrew,3
Tony Stark,3
Daphne Greengrass,3
Bakugou Katsuki,3
Aziraphale,3
Crowley ,3
Theodore Nott,3
Rodolphus Lestrange,3
Dudley Dursley,3
Edward Cullen,3
Viktor Krum,2
Midoriya Izuku,2
Oliver Queen,2
John Watson,2
Sherlock Holmes,2
Lily Evans,2
Orion Black,2
Fleur Delacour,2
Percy Jackson,2
Andromeda Black Tonks,2
Minerva McGonagall,2
Hannibal Lecter,2
Will Graham,2
Rabastan Lestrange,2
Bill Weasley,2
Nymphadora Tonks,2
Eileen Prince,2
Player Character,2
wolfstar - Relationship,2
Amy Benson,1
Astoria Greengrass,1
Percy Weasley,1
Kyle Broflovski,1
Stan Marsh,1
Lena (Disney: DuckTales),1
Webby Vanderquack,1
Franklin Foggy Nelson,1
Matt Murdock,1
Myrium Valerian (Original Character),1
Taos Valerian (Original Character),1
Jasper Hale,1
Barry Allen,1
Arthur Pendragon (Merlin),1
Merlin,1
Gomez Addams,1
Morticia Addams,1
Helena Potter,1
to be added as they occur,1
Snarry - Relationship,1
Kaminari Denki,1
Shinsou Hitoshi,1
Kreacher,1
Dominic Toretto,1
Death,1
mary lou,1
skender,1
none yet,1
Other,1
Hope Potter,1
No Romantic Relationship,1
Allen Walker,1
Kanda Yuu,1
severitus - Relationship,1
Damon Salvatore,1
Elena Gilbert,1
Draco Malfoy (in later stories),1
