Christmas Fluff,freq
Harry Potter,41
Hermione Granger,31
Draco Malfoy,29
Severus Snape,12
Sirius Black,8
Remus Lupin,6
Albus Dumbledore,3
Charlie Weasley,3
Theodore Nott,3
Original Percival Graves,3
Ginny Weasley,3
Gellert Grindelwald,2
Original Male Character,2
Lucius Malfoy,2
Pansy Parkinson,2
Credence Barebone,2
James Sirius Potter,2
Newt Scamander,2
Percy Weasley,2
Neville Longbottom,2
Reader,1
Ron Weasley,1
Tony Stark,1
Jacob Black,1
Andromeda Black Tonks,1
Pomona Sprout,1
Dean Winchester,1
Fred Weasley,1
Kingsley Shacklebolt,1
Oliver Wood,1
Theseus Scamander,1
Antonin Dolohov,1
Delia Busby,1
Patsy Mount,1
Colin Creevey,1
Luna Lovegood,1
Albus Severus Potter,1
Scorpius Malfoy,1
Blaise Zabini,1
Steve Rogers,1
Viktor Krum,1
Teddy Lupin,1
George Weasley,1
Original Female Character,1
