Christmas,freq
Harry Potter,481
Draco Malfoy,463
Hermione Granger,378
Remus Lupin,171
Sirius Black,167
Severus Snape,142
none,89
Ron Weasley,46
James Potter,45
Scorpius Malfoy,43
Ginny Weasley,43
Lily Evans Potter,38
Albus Severus Potter,34
Luna Lovegood,32
Fred Weasley,24
Pansy Parkinson,23
Percy Weasley,22
Reader,21
Neville Longbottom,21
Bellatrix Black Lestrange,21
Charlie Weasley,20
James Sirius Potter,18
Original Female Character,18
Theodore Nott,18
Minerva McGonagall,16
George Weasley,13
Teddy Lupin,13
Tom Riddle,12
Oliver Wood,12
Rose Weasley,10
Nymphadora Tonks,10
Regulus Black,9
Bill Weasley,9
Arthur Weasley,8
Lucius Malfoy,8
Albus Dumbledore,7
Astoria Greengrass,7
Original Percival Graves,7
Narcissa Black Malfoy,7
Blaise Zabini,6
Molly Weasley,6
Voldemort,6
Fleur Delacour,6
Marauders,6
Sherlock Holmes,5
Credence Barebone,5
Newt Scamander,5
Tony Stark,5
Daphne Greengrass,5
Seamus Finnigan,5
Original Character,4
Gellert Grindelwald,4
Original Male Character,4
Steve Rogers,4
Theseus Scamander,4
Dudley Dursley,4
Angelina Johnson,4
Merula Snyde,3
John Watson,3
Player Character,3
Viktor Krum,3
Lavender Brown,3
Parvati Patil,3
Millicent Bulstrode,3
Weasley Family,3
Orion Black,3
Aurora Sinistra,3
Katie Bell,3
Peter Pettigrew,3
Marcus Flint,3
Rodolphus Lestrange,3
Dean Thomas,3
Leta Lestrange,3
Lily Luna Potter,3
Kylo Ren,2
Rey,2
Queenie Goldstein,2
Walburga Black,2
Ernie Macmillan,2
Poppy Pomfrey,2
Kingsley Shacklebolt,2
Cedric Diggory,2
Peter Parker,2
Antonin Dolohov,2
Tina Goldstein,2
Jacob Black,2
Darcy Lewis,2
Thorfinn Rowle,2
Marlene McKinnon,2
Draco,2
wolfstar - Relationship,2
Audrey Weasley,2
Wanda Maximoff,2
Sam Wilson ,2
Black Family,2
Black Family (Harry Potter),2
Peter Griffin,1
Sans,1
Chiara Lobosca,1
Katsuki Yuuri,1
Victor Nikiforov,1
