Christmas,freq
Harry Potter,84
Draco Malfoy,69
Hermione Granger,43
Severus Snape,27
Remus Lupin,17
Sirius Black,17
Charlie Weasley,6
Ron Weasley,5
Neville Longbottom,5
Ginny Weasley,5
Reader,4
Fred Weasley,4
Original Female Character,4
James Sirius Potter,3
Teddy Lupin,3
Albus Severus Potter,2
Bellatrix Black Lestrange,2
Aurora Sinistra,2
Lucius Malfoy,2
Pansy Parkinson,2
Peter Griffin,1
Sans,1
Albus Dumbledore,1
Gellert Grindelwald,1
Theodore Nott,1
Petyr Baelish,1
Sansa Stark,1
Antonin Dolohov,1
Lily Evans Potter,1
Jacob Black,1
Fleur Delacour,1
Credence Barebone,1
Original Percival Graves,1
James Potter,1
Cedric Diggory,1
Molly Weasley,1
Tom Riddle,1
Minerva McGonagall,1
Rolanda Hooch,1
Cormac McLaggen,1
Scorpius Malfoy,1
Percy Weasley,1
