Coming Out,freq
Harry Potter,258
Draco Malfoy,206
Sirius Black,203
Remus Lupin,196
Albus Severus Potter,56
Scorpius Malfoy,55
Hermione Granger,40
Ginny Weasley,40
none,33
Ron Weasley,30
James Potter,27
Luna Lovegood,24
Oliver Wood,20
Severus Snape,18
Teddy Lupin,17
Percy Weasley,15
James Sirius Potter,15
Charlie Weasley,12
Pansy Parkinson,11
Dean Thomas,10
Seamus Finnigan,9
Fred Weasley,8
Regulus Black,7
Marcus Flint,7
Blaise Zabini,7
Lily Evans Potter,7
Nymphadora Tonks,7
George Weasley,7
Theodore Nott,6
Original Character,5
Narcissa Black Malfoy,4
Victoire Weasley,4
Original Female Character,4
Original Male Character,4
Minor or Background Relationship,4
Tom Riddle,4
Albus Dumbledore,4
Astoria Greengrass,4
Molly Weasley,4
Merula Snyde,4
Bellatrix Black Lestrange,3
Susan Bones,3
Lavender Brown,3
Fleur Delacour,3
Bill Weasley,3
Hannah Abbott,3
Voldemort,3
Albus Severus Potter - Weasley,3
James Sirius Potter - Weasley,3
Dorcas Meadowes,3
Marlene McKinnon,3
Player Character,3
Kim Taehyung | V,2
Harry Styles,2
Louis Tomlinson,2
Parvati Patil,2
Rubeus Hagrid,2
Lucius Malfoy,2
Reader,2
Gellert Grindelwald,2
Lee Jordan,2
Dudley Dursley,2
Cedric Diggory,2
scorbus - Relationship,2
Ernie Macmillan,2
Eileen Prince,2
Dominique Weasley,2
Arthur Weasley,2
Lily Luna Potter,2
Peter Pettigrew,2
Justin Finch - Fletchley,2
Gregory Goyle,1
Evgeni Kuznetsov,1
Jackson Nadeau (lumosinlove),1
Andromeda Black Tonks,1
Ginny Weasly,1
Aldon Rosier,1
Francesca Lam,1
Audrey Weasley,1
Jeon Jungkook,1
Harry Potter - Relationship,1
Petunia Evans Dursley,1
Kara Potter,1
Tracey Davis,1
Kreacher,1
Percy Jackson,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Daphne Greengrass,1
Marauders friendship - Relationship,1
Alicia Spinnet,1
Katie Bell,1
Credence Barebone,1
Original Percival Graves,1
Angelina Johnson,1
Anthony Goldstein,1
Neville Longbottom,1
mentioned,1
Clint Barton,1
Phil Coulson,1
