Crack,freq
Harry Potter,414
none,290
Draco Malfoy,188
Hermione Granger,112
Voldemort,103
Severus Snape,74
Tom Riddle,71
Sirius Black,69
Remus Lupin,59
Ron Weasley,36
Albus Dumbledore,31
James Potter,31
Lily Evans Potter,21
Bellatrix Black Lestrange,19
Gellert Grindelwald,19
Ginny Weasley,17
Lucius Malfoy,16
Luna Lovegood,15
Original Female Character,13
Narcissa Black Malfoy,12
Reader,11
Regulus Black,8
Pansy Parkinson,8
Oliver Wood,7
Apple,6
Theodore Nott,6
Dolores Umbridge,6
Everyone,6
Scorpius Malfoy,6
Neville Longbottom,6
Arthur Pendragon (Merlin),5
Merlin,5
Godric Gryffindor,5
Teddy Lupin,5
Cedric Diggory,5
Percy Weasley,5
Original Character,5
Steve Rogers,5
Ebony Dark&#39;ness Dementia Raven Way,5
Gilderoy Lockhart,5
Molly Weasley,5
Voldemort (Harry Potter),5
George Weasley,5
Blaise Zabini,5
Albus Severus Potter,5
Salazar Slytherin,4
Millicent Bulstrode,4
Harriet Potter | Rigel Black,4
James Bucky Barnes,4
Dobby,4
Minerva McGonagall,4
Abernathy,4
Gunnar Grimmson,4
Bartemius Crouch Jr.,3
Parvati Patil,3
Loki ,3
Original Male Character,3
Fleur Delacour,3
Charlie Weasley,3
Sybill Trelawney,3
Rita Skeeter,3
Fred Weasley,3
Rubeus Hagrid,3
Drarry - Relationship,3
Giant Squid,2
Nymphadora Tonks,2
Edward Cullen,2
Astoria Greengrass,2
Percy Jackson,2
Poppy Pomfrey,2
Caelum Lestrange,2
Gerard Way,2
Tobey Maguire,2
No Romantic Relationship,2
Other Relationship Tags to Be Added,2
Sheev Palpatine,2
Daphne Greengrass,2
Erin Lindsay,2
Jay Halstead,2
Hannah Abbott,2
Argus Filch,2
Vernon Dursley,2
Mary Macdonald,2
Marcus Flint,2
Edward Elric,2
Harem,2
Fawkes,2
Petunia Evans Dursley,2
Death,2
Cormac McLaggen,2
Lavender Brown,2
Aziraphale,2
Crowley ,2
Evil Harry Potter,2
Delphi,2
Nico di Angelo,2
Marge Dursley,2
Witchers,2
Kylo Ren,2
Rey,2
Marlene McKinnon,2
