Crack,freq
Harry Potter,42
Draco Malfoy,34
Hermione Granger,16
Severus Snape,10
Voldemort,7
Reader,4
Sirius Black,4
Tom Riddle,4
Theodore Nott,3
Luna Lovegood,3
none,3
Remus Lupin,3
Ron Weasley,2
Cedric Diggory,2
Cormac McLaggen,2
Apple,2
James Potter,2
Dean Winchester,2
Faith Lehane,2
Whomping Willow,2
Drarry - Relationship,2
Peter Griffin,1
Sans,1
Regulus Black,1
Harry Styles,1
Frank Zhang,1
Percy Jackson,1
Thomas Brodie - Sangster,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Dabi (My Hero Academia),1
Ginny Weasley,1
Hannah Abbott,1
Pansy Parkinson,1
Butt sex - Relationship,1
Everyone,1
Regretful Reads,1
Marcus Flint,1
Oliver Wood,1
wolafstar - Relationship,1
kreacher,1
remus,1
Godric Gryffindor,1
Salazar Slytherin,1
Blaise Zabini,1
Pomona Sprout,1
Poppy Pomfrey,1
Lucius Malfoy,1
Gregory Goyle,1
Parvati Patil,1
Gilderoy Lockhart,1
Harry Potter x Harry Styles,1
Fred Weasley,1
George Weasley,1
Mycroft Holmes,1
Bonky,1
House - Elves,1
Lily Evans Potter,1
Min Yoongi | Suga,1
Goblins,1
Dolores Umbridge,1
Monster Book of Monsters,1
Nimbus 2000,1
Molly Weasley,1
everyone,1
peeves,1
Albus Dumbledore,1
Gellert Grindelwald,1
Are meant to be a surprise,1
Donald Trump,1
Euphemia&#39;s Purse,1
Bowtruckle,1
Cinderella&#39;s Father,1
Millicent Bulstrode,1
Lavender Brown,1
Draco,1
Harry,1
Firenze,1
Bellatrix Black Lestrange,1
Abernathy,1
Gunnar Grimmson,1
