Crossover,freq
none,504
Harry Potter,336
Hermione Granger,248
Draco Malfoy,67
Tony Stark,53
Loki ,39
Severus Snape,39
Original Female Character,39
Steve Rogers,38
Luna Lovegood,36
Percy Jackson,30
Sirius Black,28
Natasha Romanov ,25
Annabeth Chase,23
Remus Lupin,21
Dean Winchester,21
Sherlock Holmes,20
James Bucky Barnes,20
Ginny Weasley,20
Ron Weasley,20
Pansy Parkinson,19
John Watson,17
Arthur Pendragon (Merlin),17
Merlin,17
Darcy Lewis,16
Daphne Greengrass,15
Nico di Angelo,14
Edward Cullen,14
Fred Weasley,14
Kylo Ren,13
Newt Scamander,13
Lily Evans Potter,13
Loki,12
James Potter,12
Will Solace,11
Stephen Strange,11
Voldemort,11
Rey,11
Albus Dumbledore,10
Theodore Nott,10
Hatake Kakashi,9
Uzumaki Naruto,9
Lucius Malfoy,9
Aziraphale,9
Crowley ,9
Tom Riddle,9
Peter Parker,9
Edward Elric,9
Clint Barton,9
Gellert Grindelwald,9
Original Character,8
Thor ,8
Anakin Skywalker,8
Uchiha Sasuke,7
Geralt z Rivii | Geralt of Rivia,7
George Weasley,7
Phil Coulson,7
Reader,6
Neville Longbottom,6
Cedric Diggory,6
Jon Snow,6
Jacob Black,6
Rose Weasley,6
Teddy Lupin,6
Legolas Greenleaf,6
Fon (Katekyou Hitman Reborn!),6
Bruce Banner,6
Danny Fenton,5
Peter Pevensie,5
No Romantic Relationship,5
Midoriya Izuku,5
Death,5
Stiles Stilinski,5
Sam Wilson ,5
Original Male Character,5
Wanda Maximoff,5
Narcissa Black Malfoy,5
Nymphadora Tonks,5
Edmund Pevensie,5
Blaise Zabini,5
Hope Mikaelson,4
Bruce Wayne,4
Other,4
Bakugou Katsuki,4
Female Harry Potter,4
Nick Miller,4
Jason Grace,4
Charlie Weasley,4
Jack Sparrow,4
Lavender Brown,4
Armitage Hux,4
Reborn (Katekyou Hitman Reborn!),4
Salazar Slytherin,4
Lucy Pevensie,4
Dorian Pavus,4
Luò Bīnghé,4
Shěn Yuán | Shěn Qīngqiū,4
Albus Severus Potter,4
Josie Saltzman,3
Haruno Sakura,3
Theseus Scamander,3
