Crossover,freq
Harry Potter,55
Hermione Granger,28
none,14
Natasha Romanov ,13
Draco Malfoy,9
Tony Stark,8
Dean Winchester,8
Severus Snape,6
Lucius Malfoy,5
Loki ,4
Remus Lupin,4
Original Male Character,3
Sirius Black,3
Ginny Weasley,3
Nymphadora Tonks,3
Theodore Nott,2
Darcy Lewis,2
Daphne Greengrass,2
Legolas Greenleaf,2
Original Female Character,2
Noah Puckerman,2
Emmett Cullen,2
Faith Lehane,2
Andrew Minyard,1
Neil Josten,1
Peter Griffin,1
Sans,1
Ootori Kyoya,1
Reader,1
Colin Farrell,1
Ezra Miller,1
Death,1
L,1
Cedric Diggory,1
Sandor Clegane,1
Amity Blight,1
Luz Noceda,1
Damon Salvatore,1
Dobby,1
Shane Walsh,1
Clint Barton,1
Wanda Maximoff,1
Lucy Heartfilia,1
Natsu Dragneel,1
Jack Sparrow,1
Eddie Brock,1
Luna Lovegood,1
Santana Lopez,1
Ron Weasley,1
Viktor Krum,1
Narcissa Black Malfoy,1
Woland,1
Butt sex - Relationship,1
Rick Grimes,1
Victoire Weasley,1
Bellatrix Black,1
Pam Swynford de Beaufort,1
Sung Jin - Woo,1
Fred Weasley,1
George Weasley,1
Delphini Riddle,1
Eliot Spencer,1
John Sheppard,1
Rhaenys Targaryen (Daughter of Elia),1
daenerys targaryen,1
dorian havilliard,1
Thranduil,1
Hatake Kakashi,1
Chang Wufei,1
Other Relationship Tags to Be Added,1
Charlie Weasley,1
Original Character,1
Newt Scamander,1
Sam Wilson,1
Harry Dresden,1
Geralt z Rivii | Geralt of Rivia,1
Castiel,1
Dorian Pavus,1
Narcissa Black,1
Stephen Strange,1
Barry Allen,1
Jaina Proudmoore,1
Sylvanas Windrunner,1
Gladio | Gladion,1
Corvo Attano,1
Fandral ,1
Jeremy Hunter,1
Oliver Mount,1
Steve Rogers,1
Teddy Lupin,1
Alcide Herveaux,1
Heimdall ,1
Missandei,1
Tsukino Usagi,1
John Blacksad,1
Queenie Goldstein,1
Hyuuga Neji,1
Albus Severus Potter,1
sailor moon,1
severus snape,1
Clark Kent,1
