Cute,freq
Harry Potter,283
Draco Malfoy,267
Hermione Granger,109
Sirius Black,98
Remus Lupin,95
Original Female Character,53
Reader,47
Luna Lovegood,35
Severus Snape,34
Ron Weasley,33
James Potter,32
Lily Evans Potter,30
Tom Riddle,26
none,25
Scorpius Malfoy,24
Fred Weasley,24
Ginny Weasley,23
Albus Severus Potter,21
George Weasley,15
Pansy Parkinson,15
Oliver Wood,12
Charlie Weasley,12
Neville Longbottom,11
Newt Scamander,10
Bellatrix Black Lestrange,9
Voldemort,8
Tina Goldstein,8
Fleur Delacour,7
Blaise Zabini,6
Seamus Finnigan,6
Cedric Diggory,5
Original Male Character,5
Percy Weasley,5
Dean Thomas,5
James Sirius Potter,5
Rose Weasley,4
Regulus Black,4
Arthur Weasley,4
Molly Weasley,4
Teddy Lupin,4
Theodore Nott,3
Astoria Greengrass,3
Daphne Greengrass,3
Lucius Malfoy,3
Lavender Brown,3
Penny Haywood,3
Bill Weasley,2
Credence Barebone,2
Narcissa Black Malfoy,2
Tony Stark,2
Nymphadora Tonks,2
Original Character,2
Luò Bīnghé,2
Shěn Yuán | Shěn Qīngqiū,2
Slytherin,2
bellamione,2
Parvati Patil,2
Viktor Krum,2
Karlie Kloss,2
Taylor Swift,2
Hogwarts Students,2
Player Character,2
Flora Carrow,1
Hannah Abbott,1
Cora Malfoy,1
Steven Universe,1
White Diamond,1
Chou Tzuyu,1
Kim Taehyung | V,1
O,1
c,1
Draco Malefoy,1
Kylo Ren,1
Rey,1
Clarke Griffin,1
Lexa,1
Hungarian Horntail,1
wolfstar - Relationship,1
Thorfinn Rowle,1
Nico di Angelo,1
Will Solace,1
Richard Winters,1
Odo,1
Zuko (Avatar),1
Spock (Star Trek),1
Gilderoy Lockhart,1
Elsa (Disney),1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
James Bucky Barnes,1
Peter Pettigrew,1
Antonin Dolohov,1
Millicent Bulstrode,1
Original Percival Graves,1
Terence Higgs,1
Kingsley Shacklebolt,1
Padma Patil,1
Byun Baekhyun,1
Oh Sehun,1
Alice Kingsleigh,1
Draco,1
