Dark Magic,freq
Hermione Granger,63
Draco Malfoy,55
Harry Potter,54
Tom Riddle,26
Severus Snape,24
Original Female Character,18
none,12
Voldemort,11
Bellatrix Black Lestrange,11
Sirius Black,4
Regulus Black,4
Pansy Parkinson,3
Lucius Malfoy,3
Narcissa Black Malfoy,3
James Potter,2
Ginny Weasley,2
Daphne Greengrass,2
James Sirius Potter,2
Gellert Grindelwald,2
Ron Weasley,2
Neville Longbottom,2
Remus Lupin,2
Aro (Twilight),1
Bartemius Crouch Jr,1
Lily Evans Potter,1
Rabastan Lestrange,1
Luna Lovegood,1
Kylo Ren,1
Rey,1
Malachai Kai Parker,1
Theodore Nott,1
Augustus Rookwood,1
Asterin Nott,1
All,1
Percy Weasley,1
Albus Dumbledore,1
Fenrir Greyback,1
Other,1
Harem,1
Eileen Prince,1
Fred Weasley,1
Delphini Black,1
Lily Luna Potter,1
Lilith,1
Loras Tyrell,1
Tommen Baratheon,1
Reader,1
Castiel,1
Dean Winchester,1
Drarry - Relationship,1
Andromeda Black,1
Charlie Weasley,1
Teddy Lupin,1
Bucky Barnes,1
