Dark,freq
Harry Potter,194
Hermione Granger,183
Draco Malfoy,172
none,104
Tom Riddle,79
Severus Snape,69
Voldemort,41
Original Female Character,32
Ginny Weasley,22
Sirius Black,21
Bellatrix Black Lestrange,19
Lucius Malfoy,17
Ron Weasley,16
Remus Lupin,15
Albus Dumbledore,13
Narcissa Black Malfoy,12
Reader,12
Regulus Black,11
Lily Evans Potter,11
Gellert Grindelwald,10
James Potter,10
Original Character,8
Fred Weasley,5
Newt Scamander,5
Fleur Delacour,4
Bill Weasley,4
Other,4
Theodore Nott,4
Albus Severus Potter,4
Original Percival Graves,4
Neville Longbottom,4
Luna Lovegood,3
Original Male Character,3
Player Character (Hogwarts Mystery),3
Blaise Zabini,3
Pansy Parkinson,3
Nymphadora Tonks,3
Theseus Scamander,3
George Weasley,2
Daphne Greengrass,2
Fenrir Greyback,2
Parvati Patil,2
Susan Bones,2
Rodolphus Lestrange,2
Astoria Greengrass,2
Andromeda Black Tonks,2
Barnaby Lee,2
No Romantic Relationship,2
Scorpius Malfoy,2
Bruce Wayne,2
Joker (DCU),2
None,2
Eileen Prince,2
Credence Barebone,2
Cygnus Black,2
Druella Rosier Black,2
James Sirius Potter,2
Peter Pettigrew,2
Undecided,2
Elsa (Disney),1
Aro (Twilight),1
Bartemius Crouch Jr,1
Cedrella Black Weasley,1
Septimus Weasley,1
canon relationships for the parents,1
Jim Moriarty,1
Marlene McKinnon,1
Augustus Rookwood,1
Legolas Greenleaf,1
Bartemius Crouch Jr.,1
Granger - Weasley,1
Malfoy,1
Cedric Diggory,1
Krista Lenz | Historia Reiss,1
Ymir,1
Nico di Angelo,1
Will Solace,1
Gwen,1
Morgana (Merlin),1
Rose Weasley,1
Tracey Davis,1
Vernon Dursley,1
Implied The Doctor,1
The Master (Doctor Who),1
Rubeus Hagrid,1
Aberforth Dumbledore,1
Petunia Evans Dursley,1
Lavender Brown,1
Victoria Ainsley,1
Abernathy,1
Percy Weasley,1
Weasley Family,1
Abigail Hobbs,1
Drarry - Relationship,1
Mr Evans,1
Tom RIddle,1
Valentine Dumbledore,1
dramione,1
Hadrian Peverell,1
Thomas Slytherin,1
unknown as of yet,1
