Death Eaters,freq
Draco Malfoy,223
Original Female Character,156
Harry Potter,145
Hermione Granger,122
Severus Snape,102
none,94
Sirius Black,72
Regulus Black,57
Tom Riddle,53
Bellatrix Black Lestrange,44
Lily Evans Potter,43
James Potter,34
Remus Lupin,32
Reader,31
Voldemort,30
Lucius Malfoy,28
Original Character,25
Narcissa Black Malfoy,23
Fred Weasley,16
George Weasley,16
Rodolphus Lestrange,14
Original Male Character,14
Ginny Weasley,14
Pansy Parkinson,10
Bartemius Crouch Jr.,9
Antonin Dolohov,8
Andromeda Black Tonks,8
Evan Rosier,7
Astoria Greengrass,6
Luna Lovegood,6
Nymphadora Tonks,6
Thorfinn Rowle,5
Other,5
Theodore Nott,5
Jugson (Harry Potter),5
Gibbon,5
Rabastan Lestrange,4
Ted Tonks,4
Cedric Diggory,4
Charlie Weasley,4
Albus Dumbledore,4
Blaise Zabini,4
Scorpius Malfoy,4
Rey,4
Marlene McKinnon,4
Wilkes,3
Gellert Grindelwald,3
Petunia Evans Dursley,3
Kylo Ren,3
Death Eater Characters,3
Daphne Greengrass,2
Mary Macdonald,2
Euphemia Potter,2
Fleamont Potter,2
Peter Pettigrew,2
Peter Parker,2
Ron Weasley,2
Bill Weasley,2
Marcus Flint,2
Oliver Wood,2
Alecto Carrow,2
Fleur Delacour,2
Albus Severus Potter,2
Jugson,2
Minerva McGonagall,2
Neville Longbottom,2
Desmond Miles,2
Poppy Pomfrey,2
Fenrir Greyback,2
Canon Relationship,2
No Romantic Relationship,2
Evelyn Readerng,1
Asami Ryuichi,1
Madeleine Malfoy,1
Emma Lupin,1
Evil Queen | Regina Mills,1
Rumplestiltskin | Mr. Gold,1
Wong Yuk Hei | Lucas,1
lovers to enemies - Relationship,1
Harry Styles,1
Louis Tomlinson,1
Emmeline Vance,1
Kreacher,1
Elizabetha Fleamont,1
Henry Potter,1
Tony Stark,1
Slytherin Students,1
Athena Rhodes,1
Viktor Krum,1
Asterin Nott,1
Draco Malfoy and Madeleine Desrosiers,1
Marauders,1
TK Strand,1
Bellatrix Black,1
Felicity Riddle,1
Delphi (Harry Potter),1
Eleventh Doctor,1
The Doctor&#39;s TARDIS,1
Avery Jr.,1
Willow Rosenberg,1
Original Non - Binary Character,1
