Death Eaters,freq
Draco Malfoy,63
Hermione Granger,47
Harry Potter,32
Original Female Character,28
Severus Snape,25
Bellatrix Black Lestrange,10
Tom Riddle,10
Lucius Malfoy,9
Sirius Black,8
Voldemort,5
none,5
Narcissa Black Malfoy,5
Antonin Dolohov,4
Lily Evans Potter,4
Reader,4
Original Male Character,3
Luna Lovegood,3
Bartemius Crouch Jr.,3
Remus Lupin,3
Fred Weasley,3
Regulus Black,3
James Potter,3
Pansy Parkinson,2
Other,2
Kylo Ren,2
Rey,2
Rabastan Lestrange,2
Rodolphus Lestrange,2
Asami Ryuichi,1
lovers to enemies - Relationship,1
Theodore Nott,1
Slytherin Students,1
Asterin Nott,1
TK Strand,1
Marcus Flint,1
Oliver Wood,1
Eleonora Severin,1
Original Character,1
Barty Crouch Jr.,1
Death Eater Characters,1
Fenrir Greyback,1
Astoria Greengrass,1
Igor Karkarov,1
Marlene McKinnon,1
Arthur Weasley,1
Millicent Bulstrode,1
Albus Dumbledore,1
Gellert Grindelwald,1
Theseus Scamander,1
Jung Hoseok | J - Hope,1
Min Yoongi | Suga,1
Charlie Weasley,1
Thorfinn Rowle,1
Bucky Barnes,1
