Depression,freq
Harry Potter,392
Draco Malfoy,365
Hermione Granger,173
Sirius Black,140
Remus Lupin,134
Severus Snape,96
none,91
Ron Weasley,51
Original Female Character,37
James Potter,33
Voldemort,19
Ginny Weasley,19
Lily Evans Potter,18
Luna Lovegood,16
Tom Riddle,16
Scorpius Malfoy,16
George Weasley,14
Regulus Black,14
Albus Severus Potter,13
Reader,13
Nymphadora Tonks,9
Fred Weasley,9
Pansy Parkinson,9
Newt Scamander,9
Bellatrix Black Lestrange,8
Lucius Malfoy,8
Teddy Lupin,8
Original Character,7
Percy Weasley,6
Charlie Weasley,6
Original Male Character,6
Astoria Greengrass,6
Oliver Wood,5
Theodore Nott,5
Blaise Zabini,5
Neville Longbottom,5
Albus Dumbledore,4
Gellert Grindelwald,4
Hatake Kakashi,4
Other,4
Original Percival Graves,4
Tina Goldstein,4
Marlene McKinnon,4
Peter Pettigrew,3
Cedric Diggory,3
Uchiha Obito,3
James Sirius Potter,3
Arthur Weasley,3
Molly Weasley,3
Lavender Brown,3
Victoire Weasley,2
Narcissa Black Malfoy,2
Drarry - Relationship,2
Credence Barebone,2
Past Seamus Finnigan,2
Penny Haywood,2
Loki ,2
Legolas Greenleaf,2
Minerva McGonagall,2
Player Character,2
Dorcas Meadowes,2
Cho Chang,2
Marietta Edgecombe,2
Bill Weasley,2
Castiel,2
Angelina Johnson,1
Alastor Moody,1
Edward Elric,1
Emmeline Vance,1
Frank Zhang,1
Percy Jackson,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Sadness,1
Connor Murphy,1
Evan Hansen,1
Asterin Nott,1
Tracey Davis,1
Hope Potter,1
Hibari Kyouya,1
Lila Rossi,1
Lila Rossi&#39;s Mother,1
Other Relationship Tags to Be Added,1
Thor ,1
Parvati Patil,1
harry,1
multiple,1
One sided Harry Potter,1
Poppy Pomfrey,1
Bartemius Crouch Jr.,1
Chiara Lobosca,1
Arthur Pendragon (Merlin),1
Merlin,1
daenerys targaryen,1
dorian havilliard,1
Jacob Black,1
Kuroo Tetsurou,1
Tsukishima Kei,1
Arcobaleno,1
Arcobaleno (Kateyou Hitman Reborn!),1
