Dirty Talk,freq
Harry Potter,410
Draco Malfoy,393
Hermione Granger,264
Severus Snape,111
Sirius Black,97
Remus Lupin,81
Lucius Malfoy,46
Reader,34
Ron Weasley,31
Pansy Parkinson,30
Original Percival Graves,28
Tom Riddle,27
Ginny Weasley,24
Original Female Character,23
Credence Barebone,19
Newt Scamander,16
Teddy Lupin,15
James Potter,15
Narcissa Black Malfoy,15
James Sirius Potter,12
Theodore Nott,12
Fred Weasley,11
Albus Severus Potter,11
Albus Dumbledore,11
Voldemort,11
Scorpius Malfoy,10
Lily Evans Potter,10
Bellatrix Black Lestrange,10
Gellert Grindelwald,10
Neville Longbottom,9
Blaise Zabini,9
Charlie Weasley,8
George Weasley,8
none,6
Bill Weasley,6
Luna Lovegood,6
Oliver Wood,6
Horace Slughorn,5
Fenrir Greyback,5
Nymphadora Tonks,5
Lily Luna Potter,5
Cormac McLaggen,5
Marcus Flint,4
Other,4
Daphne Greengrass,4
Theseus Scamander,4
Cedric Diggory,3
Player Character (Hogwarts Mystery),3
Natasha Romanov ,3
Tina Goldstein,3
Tony Stark,3
Kingsley Shacklebolt,3
Viktor Krum,3
F4M,3
Padma Patil,3
Arthur Weasley,3
Player Character,3
Original Male Character,3
Angelina Johnson,2
Kylo Ren,2
Prince Charmont (Ella Enchanted),2
Astoria Greengrass,2
Colin Creevey,2
Original Character,2
Severus Snape x Reader,2
Lavender Brown,2
Rubeus Hagrid,2
Regulus Black,2
Stiles Stilinski,2
Alice Longbottom,2
Leo Knut,2
Logan Tremblay,2
Katie Bell,2
Rose Weasley,2
Parvati Patil,2
Seamus Finnigan,2
Molly Weasley,2
Percival Graves | Gellert Grindelwald,2
Hannibal Lecter,1
Will Graham,1
Circe Avery,1
Gilderoy Lockhart,1
Johann Struensee,1
Graham Montague,1
Female Character,1
Mattheoriddle,1
Percy Weasley,1
Petunia Evans Dursley,1
Kaecilius,1
Gregory Goyle,1
Susan Bones,1
Jennifer Pierce,1
Jae Kim,1
OFC,1
Derek Morgan,1
Jeon Jungkook,1
Hestia Jones,1
Jackson Whittemore,1
Ignatius Ig Perrish,1
Merrin Williams,1
Diego Caplan,1
