Dirty Talk,freq
Harry Potter,363
Draco Malfoy,344
Hermione Granger,240
Sirius Black,85
Severus Snape,84
Remus Lupin,75
Lucius Malfoy,35
Original Percival Graves,27
Pansy Parkinson,27
Tom Riddle,25
Ron Weasley,24
Ginny Weasley,22
Reader,22
Original Female Character,19
Credence Barebone,19
Teddy Lupin,14
Narcissa Black Malfoy,13
Newt Scamander,12
James Potter,12
Fred Weasley,11
Theodore Nott,11
Albus Severus Potter,11
Voldemort,11
Lily Evans Potter,10
James Sirius Potter,10
Scorpius Malfoy,9
Bellatrix Black Lestrange,9
Neville Longbottom,8
George Weasley,8
Blaise Zabini,8
Charlie Weasley,7
Albus Dumbledore,7
none,6
Oliver Wood,6
Gellert Grindelwald,6
Bill Weasley,5
Horace Slughorn,5
Fenrir Greyback,5
Lily Luna Potter,5
Cormac McLaggen,5
Marcus Flint,4
Other,4
Nymphadora Tonks,4
Luna Lovegood,4
Daphne Greengrass,4
Cedric Diggory,3
Player Character (Hogwarts Mystery),3
Natasha Romanov ,3
Tina Goldstein,3
Tony Stark,3
Kingsley Shacklebolt,3
Viktor Krum,3
F4M,3
Padma Patil,3
Arthur Weasley,3
Player Character,3
Original Male Character,3
Theseus Scamander,3
Angelina Johnson,2
Prince Charmont (Ella Enchanted),2
Astoria Greengrass,2
Original Character,2
Lavender Brown,2
Regulus Black,2
Alice Longbottom,2
Leo Knut,2
Logan Tremblay,2
Katie Bell,2
Rose Weasley,2
Parvati Patil,2
Seamus Finnigan,2
Molly Weasley,2
Percival Graves | Gellert Grindelwald,2
Hannibal Lecter,1
Will Graham,1
Circe Avery,1
Gilderoy Lockhart,1
Johann Struensee,1
Graham Montague,1
Colin Creevey,1
Mattheoriddle,1
Percy Weasley,1
Petunia Evans Dursley,1
Kaecilius,1
Gregory Goyle,1
Susan Bones,1
Jennifer Pierce,1
Jae Kim,1
OFC,1
Derek Morgan,1
Ignatius Ig Perrish,1
Merrin Williams,1
Rubeus Hagrid,1
Diego Caplan,1
Rogue (X - Men),1
Finn O&#39;Hara,1
Asami Ryuichi,1
Hugo Weasley,1
Aaron Hotchner,1
Ahsoka Tano,1
Darth Maul,1
