Dom/sub,freq
Harry Potter,273
Draco Malfoy,216
Hermione Granger,145
Severus Snape,124
Remus Lupin,59
Sirius Black,57
Reader,46
Original Female Character,34
Lucius Malfoy,31
Tom Riddle,30
Ron Weasley,23
Voldemort,19
Ginny Weasley,17
Original Percival Graves,15
Pansy Parkinson,13
Narcissa Black Malfoy,12
James Potter,11
Bellatrix Black Lestrange,11
Charlie Weasley,10
George Weasley,10
Luna Lovegood,10
Credence Barebone,9
none,8
Fred Weasley,8
Neville Longbottom,7
Newt Scamander,7
Blaise Zabini,7
Albus Dumbledore,6
Original Male Character,6
Fenrir Greyback,6
Cormac McLaggen,6
Theodore Nott,5
Lily Evans Potter,5
Original Character,4
Tony Stark,4
Regulus Black,4
Percy Weasley,4
Steve Rogers,4
Bill Weasley,4
James Sirius Potter,3
Cedric Diggory,3
Other,3
Albus Severus Potter,3
Antonin Dolohov,3
Fleur Delacour,3
Colin Farrell,3
Teddy Lupin,3
Viktor Krum,3
Scorpius Malfoy,2
Kylo Ren,2
Loki ,2
Minerva McGonagall,2
Poppy Pomfrey,2
Natasha Romanov ,2
Delphi,2
Jeon Jungkook,2
Nymphadora Tonks,2
Kingsley Shacklebolt,2
Astoria Greengrass,2
Bartemius Crouch Jr.,2
Snape,2
Gellert Grindelwald,2
Multi,2
OFC,2
Katie Bell,2
Harem,1
Percy Jackson,1
Circe Avery,1
Min Yoongi | Suga,1
Angelina Johnson,1
Oliver Queen,1
Robert Queen,1
Harry Hart | Galahad,1
Susan Bones,1
Adrian Pucey,1
Thomas Brodie - Sangster,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Richard Winters,1
Draco Malfoy (in later stories),1
All,1
Castiel,1
Castiel&#39;s Trenchcoat (Supernatural),1
Bakugou Katsuki,1
Midoriya Izuku,1
Daphne Greengrass,1
Severus Snape x Evelyn Black,1
Bottom,1
top female reader,1
Horace Slughorn,1
Original Characters,1
Riven,1
Adrien Agreste | Chat Noir,1
Luka Couffaine,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Parvati Patil,1
James Bucky Barnes,1
Lily,1
Rose,1
Jirou Kyouka,1
