Dom/sub,freq
Harry Potter,213
Draco Malfoy,165
Hermione Granger,118
Severus Snape,85
Remus Lupin,53
Sirius Black,49
Reader,26
Lucius Malfoy,25
Original Female Character,21
Tom Riddle,18
Ron Weasley,17
Original Percival Graves,15
Ginny Weasley,14
Voldemort,13
Pansy Parkinson,10
Bellatrix Black Lestrange,10
Narcissa Black Malfoy,9
Credence Barebone,9
George Weasley,8
none,7
Luna Lovegood,7
Fred Weasley,7
Neville Longbottom,6
Newt Scamander,6
Cormac McLaggen,6
Charlie Weasley,6
Theodore Nott,5
James Potter,5
Lily Evans Potter,5
Blaise Zabini,5
Fenrir Greyback,5
Albus Dumbledore,4
Original Male Character,4
Regulus Black,3
Percy Weasley,3
Albus Severus Potter,3
Fleur Delacour,3
Colin Farrell,3
Teddy Lupin,3
Viktor Krum,3
Minerva McGonagall,2
Other,2
Poppy Pomfrey,2
Natasha Romanov ,2
Delphi,2
Nymphadora Tonks,2
Kingsley Shacklebolt,2
Gellert Grindelwald,2
James Sirius Potter,2
Antonin Dolohov,2
Original Character,2
OFC,2
Katie Bell,2
Circe Avery,1
Min Yoongi | Suga,1
Oliver Queen,1
Robert Queen,1
Harry Hart | Galahad,1
Adrian Pucey,1
Thomas Brodie - Sangster,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Richard Winters,1
All,1
Daphne Greengrass,1
Severus Snape x Evelyn Black,1
Horace Slughorn,1
Original Characters,1
Riven,1
Adrien Agreste | Chat Noir,1
Luka Couffaine,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Astoria Greengrass,1
Parvati Patil,1
Bartemius Crouch Jr.,1
Lily,1
Rose,1
Jirou Kyouka,1
Yaoyorozu Momo,1
Aegon VI Targaryen,1
Jon Snow,1
Jeon Jungkook,1
Park Jimin,1
Aurora Sinistra,1
Scorpius Malfoy,1
Multi,1
Harvey Kinkle,1
Nicholas Scratch,1
Gabrielle Delacour,1
Rabastan Lestrange,1
Cho Chang,1
Chester Davies,1
Player Character,1
Penelope Clearwater,1
Padma Patil,1
Finn O’Hara,1
Leo Knut,1
Logan Tremblay,1
Bill Weasley,1
Rogue,1
