Domestic Fluff,freq
Harry Potter,81
Draco Malfoy,67
Hermione Granger,40
Remus Lupin,25
Severus Snape,20
Sirius Black,17
Tom Riddle,8
Ginny Weasley,7
Neville Longbottom,6
Ron Weasley,5
Original Female Character,4
Theodore Nott,4
Pansy Parkinson,4
Credence Barebone,4
Original Percival Graves,4
Charlie Weasley,3
Percy Weasley,3
Lily Evans Potter,3
Reader,3
Lucius Malfoy,2
Bellatrix Black Lestrange,2
Voldemort,2
James Potter,2
Fred Weasley,2
Viktor Krum,2
Newt Scamander,2
Luna Lovegood,2
Andromeda Black Tonks,1
Harry Hart | Galahad,1
Clark Kent,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Bill Weasley,1
Narcissa Black Malfoy,1
Nymphadora Tonks,1
Hannah Abbott,1
Antonin Dolohov,1
Asami Ryuichi,1
Lavender Brown,1
Tina Goldstein,1
Astoria Greengrass,1
Daphne Greengrass,1
Fleur Delacour,1
none,1
Peter Parker,1
Wade Wilson,1
Oliver Wood,1
Blaise Zabini,1
Colin Creevey,1
James Sirius Potter,1
Teddy Lupin,1
