Dont copy to another site,freq
Harry Potter,866
Draco Malfoy,598
none,263
Severus Snape,98
Sirius Black,77
Remus Lupin,73
Hermione Granger,70
Albus Dumbledore,55
Tom Riddle,48
Voldemort,46
Gellert Grindelwald,34
James Potter,31
Newt Scamander,27
Albus Severus Potter,26
Luna Lovegood,26
Ron Weasley,25
Scorpius Malfoy,24
Ginny Weasley,21
James Sirius Potter,18
Original Percival Graves,17
Regulus Black,16
Original Female Character,15
Abernathy,15
Lily Evans Potter,14
Lucius Malfoy,13
Neville Longbottom,13
George Weasley,13
Theseus Scamander,13
Teddy Lupin,12
Fred Weasley,12
Jacob Kowalski,11
Narcissa Black Malfoy,9
Bill Weasley,8
Oliver Wood,8
Blaise Zabini,7
Original Male Character,6
Minerva McGonagall,6
Marcus Flint,6
Loki ,6
Queenie Goldstein,5
Minor or Background Relationship,5
Leta Lestrange,5
Gunnar Grimmson,5
Godric Gryffindor,4
James Bucky Barnes,4
Steve Rogers,4
Cedric Diggory,4
Tina Goldstein,4
Bellatrix Black Lestrange,4
Peter Hale,4
Pansy Parkinson,3
Salazar Slytherin,3
Vinda Rosier,3
Torquil Travers,3
Hatake Kakashi,3
Theodore Nott,3
Original Character,3
Ron Weasley (family),3
Credence Barebone,3
Rabastan Lestrange,3
Edward Elric,3
D (Vampire Hunter D),3
Fleur Delacour,3
Rolanda Hooch,3
Gilderoy Lockhart,3
Chiba Mamoru,2
Tsukino Usagi,2
Nizar Slytherin,2
Death,2
Percy Weasley,2
Klaus Hargreeves,2
Dominic Toretto,2
Seraphina Picquery,2
Otabek Altin,2
Yuri Plisetsky,2
Nagini,2
Reborn,2
Kingsley Shacklebolt,2
Reborn (Katekyou Hitman Reborn!),2
Stiles Stilinski,2
Ginny Weasley - Relationship,2
past Harry Potter,2
Драко Малфой,2
Elia Martell,2
Rhaegar Targaryen,2
Desmond Miles,2
Irma Pince,2
Petunia Evans Dursley,2
Poppy Pomfrey,2
Tony Stark,2
Roy Mustang,2
Edward Kenway,2
Edward Cullen,2
Charlie Weasley,2
Haytham Kenway,2
Shay Cormac,2
Heyi Ji,1
Amity Blight,1
Luz Noceda,1
The Bloody Baron (Harry Potter),1
OFCs,1
