Drabble,freq
Harry Potter,721
Draco Malfoy,709
Hermione Granger,416
none,248
Sirius Black,163
Remus Lupin,158
Severus Snape,128
Ginny Weasley,80
Ron Weasley,70
Luna Lovegood,63
Pansy Parkinson,57
James Potter,52
Fred Weasley,50
Lily Evans Potter,47
Neville Longbottom,40
Albus Severus Potter,33
Tom Riddle,33
Scorpius Malfoy,33
Regulus Black,30
Lucius Malfoy,28
Theodore Nott,24
George Weasley,24
Reader,23
Percy Weasley,22
Narcissa Black Malfoy,20
Charlie Weasley,19
Oliver Wood,19
Bellatrix Black Lestrange,19
Voldemort,18
Nymphadora Tonks,18
Blaise Zabini,17
James Sirius Potter,16
Teddy Lupin,16
Albus Dumbledore,15
Daphne Greengrass,13
Original Female Character,12
Gellert Grindelwald,11
Astoria Greengrass,10
Minerva McGonagall,10
Newt Scamander,10
Angelina Johnson,9
Viktor Krum,9
Lavender Brown,9
Marcus Flint,8
Bill Weasley,8
Original Character,7
Cho Chang,7
Seamus Finnigan,6
Steve Rogers,6
Molly Weasley,6
Fenrir Greyback,5
Fleur Delacour,5
Dean Thomas,5
Millicent Bulstrode,5
Peter Pettigrew,5
Jugson (Harry Potter),5
Player Character,5
Gibbon,5
Arthur Weasley,5
Hannah Abbott,4
Gilderoy Lockhart,4
Cedric Diggory,4
Tina Goldstein,4
Andromeda Black Tonks,4
Cormac McLaggen,4
Jacob Kowalski,4
Evan Rosier,4
Black Family,4
Antonin Dolohov,3
Gregory Goyle,3
Marlene McKinnon,3
Original Percival Graves,3
Tony Stark,3
Kingsley Shacklebolt,3
Sam Wilson ,3
Penelope Clearwater,3
Salazar Slytherin,3
Rita Skeeter,3
Sorting Hat,3
Parvati Patil,3
Apple,3
Clint Barton,3
Aurora Sinistra,3
Darcy Lewis,3
Walburga Black,3
Drarry - Relationship,3
Kim Taehyung | V,2
Dorcas Meadowes,2
Molly Weasley II,2
Damon Salvatore,2
Mary Macdonald,2
Other,2
Original Male Character,2
Alecto Carrow,2
Credence Barebone,2
Rodolphus Lestrange,2
Padma Patil,2
Lily Evans,2
Rowena Ravenclaw,2
Katie Bell,2
Rabastan Lestrange,2
