Drama &amp; Romance,freq
Harry Potter,45
Draco Malfoy,44
Severus Snape,40
Hermione Granger,38
Original Female Character,12
Sirius Black,10
Reader,7
George Weasley,5
Ginny Weasley,4
Lily Evans Potter,4
Remus Lupin,4
Gellert Grindelwald,3
Credence Barebone,3
Original Percival Graves,3
Neville Longbottom,3
Lily Evans,3
Voldemort,3
Ron Weasley,3
Albus Dumbledore,2
Tom Riddle,2
Theseus Scamander,2
Tina Goldstein,2
Aster Potter,2
Newt Scamander,2
Dean Winchester,2
Faith Lehane,2
Astoria Greengrass,1
Pansy Parkinson,1
James Potter,1
Bill Weasley,1
Player Character (Hogwarts Mystery),1
Augustus Rookwood,1
Dobby,1
Kreacher,1
Regulus Black,1
Dementors,1
Daphne Greengrass,1
John Watson,1
Sherlock Holmes,1
Scabior,1
Noah Puckerman,1
Andromeda Black Tonks,1
Ted Tonks,1
Dean Thomas,1
Seamus Finnigan,1
Original Character,1
Narcissa Black Malfoy,1
Charlie Weasley,1
Flora Carrow,1
Nymphadora Tonks,1
Jacob Frye,1
Alexios,1
Vernon Dursley,1
Chell,1
GLaDOS,1
Blaise Zabini,1
Cedric Diggory,1
Fred Weasley,1
Minerva McGonagall,1
Lucius Malfoy,1
Rabastan Lestrange,1
Eren Yeager,1
Levi,1
