Drama,freq
Harry Potter,593
Draco Malfoy,471
Hermione Granger,432
none,305
Severus Snape,268
Original Female Character,145
Sirius Black,114
Remus Lupin,98
Ginny Weasley,70
Tom Riddle,67
Lily Evans Potter,64
James Potter,63
Lucius Malfoy,61
Albus Dumbledore,55
Scorpius Malfoy,54
Voldemort,54
Gellert Grindelwald,42
Ron Weasley,37
Bellatrix Black Lestrange,29
Albus Severus Potter,29
Narcissa Black Malfoy,28
Reader,24
Fred Weasley,23
Newt Scamander,23
Original Male Character,21
Pansy Parkinson,20
George Weasley,18
Rose Weasley,18
Fleur Delacour,17
James Sirius Potter,16
Lily Luna Potter,16
Original Percival Graves,16
Blaise Zabini,15
Original Character,13
Neville Longbottom,13
Teddy Lupin,13
Luna Lovegood,12
Minerva McGonagall,12
Credence Barebone,12
Daphne Greengrass,12
Astoria Greengrass,11
Charlie Weasley,10
Theodore Nott,10
Player Character,10
Oliver Wood,10
Andromeda Black Tonks,10
Theseus Scamander,10
Regulus Black,9
Tina Goldstein,9
Nymphadora Tonks,9
Edward Elric,8
Dominique Weasley,7
Cedric Diggory,7
Merula Snyde,7
Percy Weasley,7
Bill Weasley,7
Fenrir Greyback,7
Queenie Goldstein,6
Arthur Weasley,6
Molly Weasley,6
Marcus Flint,6
Other,5
Frodo Baggins,5
Audrey Weasley,5
Winry Rockbell,5
Jacob Kowalski,5
Rowena Ravenclaw,5
Salazar Slytherin,5
Jean - Claude (Anita Blake),4
Flora Carrow,4
Other Relationship Tags to Be Added,4
Petunia Evans Dursley,4
Jacob Black,4
Female Harry Potter,4
Rodolphus Lestrange,4
Abernathy,4
Thorfinn Rowle,4
Gilderoy Lockhart,4
Katie Bell,4
Leta Lestrange,4
Cho Chang,4
Ted Tonks,4
Victoire Weasley,3
Abraxas Malfoy,3
Hugo Weasley,3
Padma Patil,3
Loki ,3
Tracey Davis,3
Lysander Scamander,3
Seamus Finnigan,3
Viktor Krum,3
Edward Cullen,3
Cor Leonis,3
Merlin,3
Ron Weasley (family),3
Lavender Brown,3
Edward (Anita Blake),2
Micah Callahan,2
Kylo Ren,2
Chiara Lobosca,2
James Bucky Barnes,2
