Emotional Hurt/Comfort,freq
Harry Potter,575
Draco Malfoy,431
Hermione Granger,302
Sirius Black,292
Remus Lupin,281
Severus Snape,186
none,98
James Potter,78
Ron Weasley,75
Original Female Character,72
Lily Evans Potter,52
Reader,48
Tom Riddle,42
Ginny Weasley,41
George Weasley,35
Regulus Black,30
Fred Weasley,30
Luna Lovegood,26
Voldemort,26
Lucius Malfoy,25
Newt Scamander,24
Pansy Parkinson,23
Scorpius Malfoy,19
Oliver Wood,19
Albus Severus Potter,18
Original Percival Graves,18
Narcissa Black Malfoy,17
Percy Weasley,17
Bellatrix Black Lestrange,15
Theodore Nott,13
Nymphadora Tonks,13
Bill Weasley,13
Charlie Weasley,12
Albus Dumbledore,12
Marcus Flint,12
Peter Pettigrew,11
Neville Longbottom,11
Original Character,9
Minerva McGonagall,9
Marlene McKinnon,9
Credence Barebone,9
Teddy Lupin,9
Tina Goldstein,9
James Sirius Potter,8
Andromeda Black Tonks,8
Blaise Zabini,8
Dorcas Meadowes,7
Theseus Scamander,7
Cedric Diggory,7
Astoria Greengrass,6
Fleur Delacour,6
Gellert Grindelwald,6
Original Male Character,6
Seamus Finnigan,6
Arthur Weasley,6
Rose Weasley,5
Daphne Greengrass,5
Dean Thomas,5
Tony Stark,5
Molly Weasley,5
Bartemius Crouch Jr.,4
Susan Bones,4
Loki,4
Arthur Pendragon (Merlin),4
Merlin,4
Angelina Johnson,4
Loki ,3
Mary Macdonald,3
Finn O&#39;Hara,3
Leo Knut,3
Petunia Evans Dursley,3
Viktor Krum,3
Dean Winchester,3
John Watson,3
Sherlock Holmes,3
Midoriya Izuku,3
Lavender Brown,3
Lily Luna Potter,3
Hatake Kakashi,2
Bellamy Blake,2
Penny Haywood,2
Percy Jackson,2
Chiba Mamoru,2
Tsukino Usagi,2
James Bucky Barnes,2
Weasley Family,2
Logan Tremblay (lumosinlove),2
Euphemia Potter,2
Delphi,2
Female Harry Potter,2
Poppy Pomfrey,2
Justin Finch - Fletchley,2
Elsa (Disney),2
Jacob Kowalski,2
Drarry - Relationship,2
Bakugou Katsuki,2
Katsuki Yuuri,2
Victor Nikiforov,2
Death,2
Other,2
Padma Patil,2
