Emotional Hurt/Comfort,freq
Harry Potter,115
Draco Malfoy,92
Hermione Granger,54
Severus Snape,42
Remus Lupin,18
Sirius Black,18
Original Female Character,14
Tom Riddle,9
Lucius Malfoy,8
Ron Weasley,8
Voldemort,7
Neville Longbottom,6
Pansy Parkinson,6
Charlie Weasley,5
Theodore Nott,4
Fred Weasley,4
George Weasley,4
James Potter,3
Ginny Weasley,3
Newt Scamander,3
Original Percival Graves,3
Reader,3
Tony Stark,3
Blaise Zabini,3
Lily Evans Potter,2
none,2
Narcissa Black Malfoy,2
Scorpius Malfoy,2
Susan Bones,2
Marcus Flint,2
Albus Dumbledore,2
Gellert Grindelwald,2
James Sirius Potter,2
Bellamy Blake,1
Nymphadora Tonks,1
Luna Lovegood,1
Former Harry Potter,1
Penny Haywood,1
Harry Styles,1
Louis Tomlinson,1
Millicent Bulstrode,1
Frank Zhang,1
Percy Jackson,1
Albus Severus Potter,1
Viktor Krum,1
Oliver Wood,1
John Watson,1
Sherlock Holmes,1
Astoria Greengrass,1
Angelina Johnson,1
Original Male Character,1
Padma Patil,1
Flora Carrow,1
Lán Zhàn | Lán Wàngjī,1
Wèi Yīng | Wèi Wúxiàn,1
Bill Weasley,1
Fleur Delacour,1
Edward (Anita Blake),1
Rose Weasley,1
Luisa Alver,1
Rose Solano,1
Regulus Black,1
Loki Odinson,1
Thor Odinson,1
Viper,1
Lily Luna Potter,1
Harvey - Relationship,1
Teddy Lupin,1
Darcy Lewis,1
Ginny Weasley - Relationship,1
past Harry Potter,1
Daphne Greengrass,1
Theseus Scamander,1
