Enemies to Friends to Lovers,freq
Draco Malfoy,955
Harry Potter,749
Hermione Granger,332
Original Female Character,150
Severus Snape,92
James Potter,90
Sirius Black,89
Remus Lupin,73
Tom Riddle,67
Lily Evans Potter,65
Reader,52
Ron Weasley,28
Fred Weasley,25
Pansy Parkinson,25
Bellatrix Black Lestrange,21
Voldemort,21
Ginny Weasley,20
Lucius Malfoy,17
Regulus Black,16
Original Character,15
Narcissa Black Malfoy,14
Scorpius Malfoy,14
Oliver Wood,12
none,12
Luna Lovegood,10
George Weasley,10
Marcus Flint,10
Percy Weasley,10
Blaise Zabini,9
Theodore Nott,8
Merula Snyde,8
Neville Longbottom,8
Antonin Dolohov,7
Albus Severus Potter,6
Fleur Delacour,6
Rose Weasley,6
James Sirius Potter,6
Merlin,6
Katie Bell,5
Original Male Character,5
Arthur Pendragon (Merlin),5
Daphne Greengrass,4
Rey,4
Cedric Diggory,4
Player Character,4
Louis Weasley,3
Andromeda Black Tonks,3
Ted Tonks,3
Kylo Ren,3
Marlene McKinnon,3
Other,3
Albus Dumbledore,3
Petunia Evans Dursley,3
Rabastan Lestrange,3
Jeon Jungkook,3
Astoria Greengrass,3
Cormac McLaggen,3
Bellamy Blake,2
Dorcas Meadowes,2
Drarry - Relationship,2
Cho Chang,2
Peter Pettigrew,2
Loki ,2
Aziraphale,2
Crowley ,2
Salazar Slytherin,2
Harry Styles,2
Charlie Weasley,2
Original Percival Graves,2
Nymphadora Tonks,2
Park Jimin,2
Teddy Lupin,2
Fred Weasley II,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Alex Claremont - Diaz,1
Henry Fox - Mountchristen - Windsor,1
Severus Snape x Reader,1
enemies to lovers - Relationship,1
Gregory Goyle,1
Harry Hart | Galahad,1
Annabeth Chase,1
Percy Jackson,1
L,1
Yagami Light,1
Adrien Agreste | Chat Noir,1
Marinette Dupain - Cheng | Ladybug,1
James,1
Rita Skeeter,1
Terry Boot,1
Thorfinn Rowle,1
Daisy Potter,1
Kylie Ford,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Beca Mitchell,1
Chloe Beale,1
Granger - Weasley,1
Malfoy,1
draco malfoy,1
elizabeth alure,1
