Enemies to Friends to Lovers,freq
Draco Malfoy,212
Harry Potter,184
Hermione Granger,74
Severus Snape,24
Original Female Character,19
Tom Riddle,11
Reader,9
Fred Weasley,7
Ron Weasley,7
Bellatrix Black Lestrange,7
Pansy Parkinson,6
Voldemort,6
Sirius Black,6
Lucius Malfoy,4
James Potter,3
Theodore Nott,3
Remus Lupin,3
Lily Evans Potter,2
Kylo Ren,2
Rey,2
Daphne Greengrass,2
Original Character,2
Oliver Wood,2
Neville Longbottom,2
Cormac McLaggen,2
Jae Kim,1
Player Character (Hogwarts Mystery),1
Bellamy Blake,1
Andromeda Black Tonks,1
Ted Tonks,1
Severus Snape x Reader,1
Ginny Weasley,1
Gregory Goyle,1
Harry Hart | Galahad,1
Dorcas Meadowes,1
Marlene McKinnon,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Blaise Zabini,1
Hannah Abbott,1
Percy Weasley,1
Antonin Dolohov,1
Roger Davies,1
George Weasley,1
Other,1
Barnaby Lee,1
Other Relationship Tags to Be Added,1
Michael Langdon,1
Alice Cullen,1
Jasper Hale,1
none,1
Marcus Flint,1
Alastor Moody,1
Rufus Scrimgeour,1
James Sirius Potter,1
Teddy Lupin,1
Albus Severus Potter,1
Scorpius Malfoy,1
Castiel,1
Dean Winchester,1
Nymphadora Tonks,1
