Enemies to Lovers,freq
Draco Malfoy,861
Harry Potter,548
Hermione Granger,389
Original Female Character,169
Sirius Black,98
Severus Snape,84
Remus Lupin,75
Reader,75
Tom Riddle,71
James Potter,52
Lily Evans Potter,38
Pansy Parkinson,34
Fred Weasley,29
Voldemort,29
Lucius Malfoy,26
Ginny Weasley,22
Bellatrix Black Lestrange,21
Ron Weasley,19
none,18
Original Character,17
Oliver Wood,17
Marcus Flint,17
Scorpius Malfoy,16
Regulus Black,14
Kylo Ren,11
Narcissa Black Malfoy,10
George Weasley,9
Rey,9
Rose Weasley,8
Blaise Zabini,8
Albus Severus Potter,7
Other,7
Theodore Nott,7
Neville Longbottom,7
Luna Lovegood,7
Merula Snyde,7
Daphne Greengrass,6
Loki ,6
Original Male Character,5
Jeon Jungkook,5
James Sirius Potter,4
Gellert Grindelwald,4
Newt Scamander,4
Original Percival Graves,4
Antonin Dolohov,3
Percy Weasley,3
Drarry - Relationship,3
Cedric Diggory,3
dramione,3
Albus Dumbledore,3
Kim Taehyung | V,3
Stiles Stilinski,3
Credence Barebone,3
Player Character,3
Clay | Dream,2
GeorgeNotFound (Video Blogging RPF),2
Player Character (Hogwarts Mystery),2
enemies to lovers - Relationship,2
Charlie Weasley,2
Aziraphale,2
Crowley ,2
Other Relationship Tags to Be Added,2
Percy Jackson,2
Viktor Krum,2
Dorcas Meadowes,2
Thorfinn Rowle,2
Cassandra Burke Goyle (Original Character),2
Harry Styles,2
Bakugou Katsuki,2
Iwaizumi Hajime,2
Fleur Delacour,2
Nymphadora Tonks,2
Jackson Whittemore,2
Draco,2
Derek Hale,2
Hannibal Lecter,2
Will Graham,2
Tina Goldstein,2
Cormac McLaggen,2
Evelyn Readerng,1
Y,1
draco,1
n,1
Jae Kim,1
Katara,1
Zuko (Avatar),1
Andromeda Black Tonks,1
Ted Tonks,1
Alec Lightwood,1
Magnus Bane,1
Madeline Halstead,1
Ginny Weasly,1
Harry Hart | Galahad,1
Annabeth Chase,1
oc (Charlie),1
tom riddle,1
Marlene McKinnon,1
James,1
Rolf Scamander,1
lovers to enemies - Relationship,1
Luke Deveaux,1
