Enemies to Lovers,freq
Draco Malfoy,249
Harry Potter,148
Hermione Granger,140
Severus Snape,35
Original Female Character,27
Sirius Black,20
Remus Lupin,17
Reader,17
Tom Riddle,13
Lucius Malfoy,13
Bellatrix Black Lestrange,8
Voldemort,8
Pansy Parkinson,7
Fred Weasley,6
Marcus Flint,6
Oliver Wood,6
Kylo Ren,6
Rey,6
James Potter,5
Ron Weasley,5
George Weasley,4
Ginny Weasley,4
Lily Evans Potter,3
Scorpius Malfoy,3
Theodore Nott,3
Albus Severus Potter,2
Cassandra Burke Goyle (Original Character),2
Original Character,2
Newt Scamander,2
Narcissa Black Malfoy,2
Cormac McLaggen,2
Jae Kim,1
Player Character (Hogwarts Mystery),1
Antonin Dolohov,1
Harry Hart | Galahad,1
oc (Charlie),1
tom riddle,1
Dorcas Meadowes,1
Marlene McKinnon,1
lovers to enemies - Relationship,1
Frank Zhang,1
Percy Jackson,1
Harry Styles,1
Louis Tomlinson,1
oc,1
theo nott,1
Dobby,1
Neville Longbottom,1
Fleur Delacour,1
Gellert Grindelwald,1
Spencer Reid,1
Eleonora Severin,1
none,1
Draco,1
Other,1
Original Male Character,1
Alice Cullen,1
Jasper Hale,1
Moaning Myrtle,1
Vincent Crabbe,1
Thorfinn Rowle,1
Fenrir Greyback,1
Daphne Greengrass,1
Rose Weasley,1
Alastor Moody,1
Rufus Scrimgeour,1
Jeon Jungkook,1
Blaise Zabini,1
Tina Goldstein,1
Credence Barebone,1
Original Percival Graves,1
Luna Lovegood,1
Nymphadora Tonks,1
