Established Relationship,freq
Harry Potter,1753
Draco Malfoy,1543
Hermione Granger,701
Sirius Black,533
Remus Lupin,472
Severus Snape,348
Ginny Weasley,162
James Potter,139
Ron Weasley,115
Scorpius Malfoy,100
Reader,98
Pansy Parkinson,96
Luna Lovegood,95
Tom Riddle,91
Lucius Malfoy,76
Albus Severus Potter,75
Neville Longbottom,61
Lily Evans Potter,53
Original Female Character,52
Voldemort,44
Bellatrix Black Lestrange,42
James Sirius Potter,42
Teddy Lupin,41
Albus Dumbledore,39
George Weasley,39
Gellert Grindelwald,37
Theodore Nott,34
Oliver Wood,34
Newt Scamander,33
Original Percival Graves,33
Narcissa Black Malfoy,31
Blaise Zabini,29
Fred Weasley,29
Percy Weasley,26
Marcus Flint,25
Loki ,24
Regulus Black,23
Charlie Weasley,23
Daphne Greengrass,19
Fleur Delacour,19
Credence Barebone,19
Astoria Greengrass,18
Cedric Diggory,16
Lavender Brown,16
Viktor Krum,14
Minerva McGonagall,13
Rose Weasley,13
Tony Stark,12
Nymphadora Tonks,11
Jeon Jungkook,11
Kim Taehyung | V,11
Theseus Scamander,11
Marlene McKinnon,10
Parvati Patil,10
Bill Weasley,10
Steve Rogers,10
Seamus Finnigan,8
Leta Lestrange,8
Player Character,8
Kingsley Shacklebolt,8
Original Male Character,8
Alastor Moody,8
Tina Goldstein,8
Padma Patil,7
Loki,7
Merula Snyde,7
Victoire Weasley,6
Dorcas Meadowes,6
Hugo Weasley,6
Pomona Sprout,6
Andromeda Black Tonks,6
Anthony Goldstein,6
Dean Thomas,6
Cho Chang,6
Thor ,6
Poppy Pomfrey,6
Abernathy,6
Gunnar Grimmson,6
none,5
Abraxas Malfoy,5
Clint Barton,5
Кеша Гинс,5
Костя Кот,5
John Watson,4
Sheev Palpatine,4
Cormac McLaggen,4
Jacob Kowalski,4
Original Character,4
Peter Pettigrew,4
Gilderoy Lockhart,4
Gideon Prewett,4
Finn O&#39;Hara,4
Leo Knut,4
Logan Tremblay,4
Dean Winchester,4
James Bucky Barnes,4
Dudley Dursley,4
Arthur Weasley,4
Fenrir Greyback,4
Aziraphale,3
Crowley ,3
