Established Relationship,freq
Harry Potter,360
Draco Malfoy,337
Hermione Granger,232
Sirius Black,97
Remus Lupin,91
Severus Snape,86
Lucius Malfoy,38
Pansy Parkinson,36
Ron Weasley,26
Albus Severus Potter,19
Scorpius Malfoy,19
Ginny Weasley,18
Theodore Nott,16
Neville Longbottom,15
Tom Riddle,14
James Sirius Potter,14
Teddy Lupin,14
Narcissa Black Malfoy,13
Original Female Character,12
Charlie Weasley,12
Original Percival Graves,12
James Potter,11
Blaise Zabini,10
Voldemort,10
Credence Barebone,10
Luna Lovegood,8
Albus Dumbledore,8
Reader,8
Bellatrix Black Lestrange,8
Oliver Wood,8
Newt Scamander,7
Bill Weasley,6
Tony Stark,6
Marcus Flint,5
Viktor Krum,5
Loki ,5
Daphne Greengrass,4
Gellert Grindelwald,4
Steve Rogers,4
Fred Weasley,4
George Weasley,4
Padma Patil,4
Regulus Black,4
Leta Lestrange,4
Theseus Scamander,4
Lily Evans Potter,4
Percy Weasley,4
Fleur Delacour,3
Marlene McKinnon,3
Cormac McLaggen,3
Peter Pettigrew,3
Lavender Brown,3
Nymphadora Tonks,2
Minerva McGonagall,2
Adrian Pucey,2
Astoria Greengrass,2
Parvati Patil,2
Cedric Diggory,2
Molly Weasley,2
Loki,2
Andromeda Black Tonks,2
Tina Goldstein,2
Darcy Lewis,2
Original Male Character,2
Finn O&#39;Hara,2
Leo Knut,2
Logan Tremblay,2
Dean Winchester,2
Faith Lehane,2
Kunzite,1
Zoisite,1
Harry Hart | Galahad,1
Rabastan Lestrange,1
Rodolphus Lestrange,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Sam Wilson ,1
Cassius Warrington,1
Jafar,1
Sheev Palpatine,1
Aurora Sinistra,1
Armand Jean du Plessis de Richelieu,1
Jafar (Disney),1
Emmett Cullen,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Cole Turner,1
Phoebe Halliwell,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Eliot Spencer,1
John Sheppard,1
Ignatius Ig Perrish,1
Merrin Williams,1
Анна Печорина,1
Жора Феницин (Фен),1
Natasha Romanov ,1
Dorcas Meadowes,1
Arthur Weasley,1
Jeon Jungkook,1
Park Jimin,1
