Eventual Romance,freq
Hermione Granger,117
Draco Malfoy,109
Severus Snape,79
Harry Potter,64
Original Female Character,60
Tom Riddle,12
Reader,10
Lily Evans Potter,9
Sirius Black,6
Bellatrix Black Lestrange,5
Voldemort,5
James Potter,4
Ginny Weasley,4
Fleur Delacour,4
Remus Lupin,4
Narcissa Black Malfoy,4
Original Percival Graves,3
Lucius Malfoy,3
Charlie Weasley,3
Fred Weasley,3
Neville Longbottom,3
Ron Weasley,3
Original Male Character,3
Regulus Black,2
Jae Kim,2
Player Character (Hogwarts Mystery),2
George Weasley,2
none,2
Fenrir Greyback,2
James Sirius Potter,2
Teddy Lupin,2
Albus Dumbledore,2
Newt Scamander,2
Credence Barebone,2
Viktor Krum,2
Antonin Dolohov,1
Harry Hart | Galahad,1
Harry Styles,1
Louis Tomlinson,1
Audrey Weasley,1
Percy Weasley,1
Augustus Rookwood,1
Mary Macdonald,1
Eren Yeager,1
Levi Ackerman,1
Delphi,1
Susan Bones,1
Lily Luna Potter,1
Scorpius Malfoy,1
Gellert Grindelwald,1
Sam Winchester,1
Tina Goldstein,1
Ben Solo,1
Rey,1
Gregory Goyle,1
Padma Patil,1
Nymphadora Tonks,1
Chester Davies,1
Player Character,1
Other Relationship Tags to Be Added,1
Original Character,1
Katie Bell,1
Marcus Flint,1
Blaise Zabini,1
Dean Winchester,1
Daphne Greengrass,1
Severus Snape - Relationship,1
