Eventual Smut,freq
Hermione Granger,226
Draco Malfoy,219
Harry Potter,161
Severus Snape,73
Original Female Character,53
Sirius Black,43
Reader,42
Remus Lupin,37
Tom Riddle,34
Voldemort,17
Lily Evans Potter,13
James Potter,11
Fred Weasley,11
Charlie Weasley,11
George Weasley,10
Bellatrix Black Lestrange,9
Ron Weasley,8
Ginny Weasley,8
Lucius Malfoy,7
Theodore Nott,6
Neville Longbottom,6
Fleur Delacour,6
Original Male Character,6
Original Character,5
Newt Scamander,5
Tina Goldstein,5
Regulus Black,4
Original Percival Graves,4
Cedric Diggory,4
Pansy Parkinson,3
Bill Weasley,3
Albus Dumbledore,3
Credence Barebone,3
Other,2
Antonin Dolohov,2
none,2
Gellert Grindelwald,2
Teddy Lupin,2
Astoria Greengrass,2
Blaise Zabini,2
Jeon Jungkook,2
Kylo Ren,2
Rey,2
Player Character (Hogwarts Mystery),2
Daphne Greengrass,2
Anakin Skywalker,2
Luna Lovegood,2
Peter Pettigrew,1
L,1
Past Lily Evens Potter,1
Orion Amari,1
Harry Styles,1
Louis Tomlinson,1
Dorcas Meadowes,1
Marlene McKinnon,1
Miya Atsumu,1
Miya Osamu,1
James Bucky Barnes,1
Mary Macdonald,1
Richard Winters,1
James Sirius Potter,1
Narcissa Black Malfoy,1
OMC,1
Lavender Brown,1
Parvati Patil,1
Susan Bones,1
Rick Grimes,1
Original Characters,1
Eventual Sirius Black,1
Remus Lupin - Relationship,1
Sam Winchester,1
Fenrir Greyback,1
Rhaenys Targaryen,1
daenerys targaryen,1
dorian havilliard,1
John Watson,1
Sherlock Holmes,1
Draco,1
Park Jimin,1
Dick Grayson,1
Jacob Black,1
Sirius Black - Relationship,1
Obi - Wan Kenobi,1
Other Relationship Tags to Be Added,1
Viktor Krum,1
Dean Thomas,1
Seamus Finnigan,1
Caroline Forbes,1
Klaus Mikaelson,1
Marcus Flint,1
Oliver Wood,1
Scorpius Malfoy,1
Loki ,1
Jim Pickens,1
Rubeus Hagrid,1
Elsa,1
Honeymaren (Disney),1
everyone,1
peeves,1
Dean Winchester,1
Darcy Lewis,1
