Explicit Language,freq
Hermione Granger,327
Draco Malfoy,307
Harry Potter,256
Sirius Black,75
Original Female Character,65
Severus Snape,64
Remus Lupin,57
Tom Riddle,39
Ron Weasley,36
none,30
James Potter,25
Ginny Weasley,24
Theodore Nott,19
Lily Evans Potter,17
Pansy Parkinson,16
Reader,16
Voldemort,14
Lucius Malfoy,14
Bellatrix Black Lestrange,13
Charlie Weasley,13
Fred Weasley,12
Scorpius Malfoy,12
Blaise Zabini,11
Original Character,11
Albus Severus Potter,10
Regulus Black,9
Neville Longbottom,9
Tony Stark,9
James Sirius Potter,7
Loki ,6
George Weasley,5
Fleur Delacour,5
Narcissa Black Malfoy,5
Bill Weasley,5
Luna Lovegood,5
Albus Dumbledore,5
Nymphadora Tonks,4
Daphne Greengrass,4
Teddy Lupin,4
Lily Luna Potter,4
Arthur Weasley,4
Player Character,4
Percy Weasley,4
Merula Snyde,4
Dean Winchester,4
Death,3
Rose Weasley,3
Marcus Flint,3
Rabastan Lestrange,3
Thorfinn Rowle,3
Loki,3
Original Male Character,2
Emma Lupin,2
Oliver Wood,2
Parvati Patil,2
Newt Scamander,2
Original Percival Graves,2
Lavender Brown,2
Rey,2
Molly Weasley,2
Andromeda Black Tonks,2
Evan Rosier,2
Millicent Bulstrode,2
Clint Barton,2
Other,2
Pepper Potts,2
Barnaby Lee,2
Gellert Grindelwald,2
fem!Colin Creevey,2
Darcy Lewis,2
Castiel,2
Fenrir Greyback,2
Faith Lehane,2
Andrew Minyard,1
Neil Josten,1
Bellamy Blake,1
Hermione - Relationship,1
James,1
Sirius,1
Irma Crabbe Black,1
Pollux Black,1
Jeon Jungkook,1
Kim Taehyung | V,1
Colin Creevey,1
Minerva McGonagall,1
Scabior,1
Augustus Rookwood,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Orion Black,1
N - Relationship,1
Y,1
Mary Macdonald,1
Sam Wilson ,1
Dudley Dursley,1
Adrian Pucey,1
Cassius Warrington,1
More pairings to be added - Relationship,1
Alicia Spinnet,1
Other Relationship Tags to Be Added,1
SSHG,1
