Explicit Language,freq
Hermione Granger,231
Draco Malfoy,182
Harry Potter,134
Severus Snape,42
Original Female Character,39
Sirius Black,26
Ron Weasley,23
Tom Riddle,22
Remus Lupin,16
Bellatrix Black Lestrange,12
Ginny Weasley,12
none,11
Theodore Nott,11
James Potter,9
Fred Weasley,9
Pansy Parkinson,9
Reader,9
Charlie Weasley,9
Lucius Malfoy,8
Lily Evans Potter,7
Blaise Zabini,7
Neville Longbottom,6
Scorpius Malfoy,6
Voldemort,6
Albus Dumbledore,5
Tony Stark,5
Narcissa Black Malfoy,4
Albus Severus Potter,3
Bill Weasley,3
Fleur Delacour,3
Lily Luna Potter,3
George Weasley,3
Original Character,3
Loki ,3
Dean Winchester,3
Nymphadora Tonks,2
Rose Weasley,2
Regulus Black,2
Newt Scamander,2
Original Percival Graves,2
Marcus Flint,2
Lavender Brown,2
Teddy Lupin,2
Luna Lovegood,2
Other,2
Barnaby Lee,2
Gellert Grindelwald,2
Percy Weasley,2
Darcy Lewis,2
Faith Lehane,2
Andrew Minyard,1
Neil Josten,1
Bellamy Blake,1
Hermione - Relationship,1
James,1
Sirius,1
Colin Creevey,1
Minerva McGonagall,1
Scabior,1
Augustus Rookwood,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Mary Macdonald,1
Daphne Greengrass,1
Sam Wilson ,1
Adrian Pucey,1
Cassius Warrington,1
James Sirius Potter,1
Mrs Granger,1
Kylo Ren,1
Rey,1
Pamela Isley,1
Romilda Vane,1
ginny weasley,1
wade winston wilson (deadpool),1
Original Characters,1
Legolas Greenleaf,1
So Many &#39;Ships On Which To Set Sail - but which to pick?,1
Andromeda Black Tonks,1
Millicent Bulstrode,1
Derek Morgan,1
beth harmon,1
draco malfoy,1
Eleonora Severin,1
Jethro Gibbs,1
Pennywise (It),1
Jacob Black,1
Thorfinn Rowle,1
Antonin Dolohov,1
James T. Kirk,1
Peter Quill,1
Credence Barebone,1
Thor ,1
Marlene McKinnon,1
Aaron Hotchner,1
Ahsoka Tano,1
Darth Maul,1
Hannah Abbott,1
Hyuuga Neji,1
Barca,1
Pietros,1
