Falling In Love,freq
Draco Malfoy,521
Harry Potter,519
Hermione Granger,290
Severus Snape,145
Remus Lupin,143
Original Female Character,142
Sirius Black,137
Reader,83
Tom Riddle,56
James Potter,50
Fred Weasley,42
Lily Evans Potter,40
Ron Weasley,38
Luna Lovegood,31
Scorpius Malfoy,30
George Weasley,29
Neville Longbottom,29
Credence Barebone,28
Ginny Weasley,27
Original Percival Graves,27
Pansy Parkinson,24
Charlie Weasley,24
Theodore Nott,23
Narcissa Black Malfoy,23
Regulus Black,21
Newt Scamander,20
Original Character,19
Blaise Zabini,19
Albus Severus Potter,17
Nymphadora Tonks,15
Oliver Wood,14
none,14
Albus Dumbledore,13
James Sirius Potter,13
Gellert Grindelwald,12
Bill Weasley,12
Rose Weasley,11
Voldemort,11
Astoria Greengrass,11
Cedric Diggory,11
Lucius Malfoy,11
Fleur Delacour,10
Original Male Character,10
Bellatrix Black Lestrange,10
Teddy Lupin,10
Tina Goldstein,10
Percy Weasley,9
Daphne Greengrass,7
Marcus Flint,6
Andromeda Black Tonks,6
Minerva McGonagall,5
Viktor Krum,5
Cho Chang,4
Other,4
Loki ,4
Dean Thomas,4
Kylo Ren,3
Seamus Finnigan,3
Marlene McKinnon,3
Ted Tonks,3
Rey,3
Kingsley Shacklebolt,3
Abraxas Malfoy,3
Tony Stark,3
Tracey Davis,2
Kim Taehyung | V,2
Dorcas Meadowes,2
Dean Winchester,2
Death,2
Hugo Weasley,2
Molly Weasley,2
Arthur Pendragon (Merlin),2
Merlin,2
Snape,2
Clint Barton,2
Antonin Dolohov,2
Padma Patil,2
Asami Ryuichi,2
Salazar Slytherin,2
Millicent Bulstrode,2
Godric Gryffindor,2
Jacob Kowalski,2
James Bucky Barnes,2
Bartemius Crouch Jr.,2
Cormac McLaggen,2
Drarry - Relationship,2
Merope Gaunt,2
Tom Riddle Sr.,2
Leo Wyatt,1
Piper Halliwell,1
Pomona Sprout,1
Fred Weasley II,1
Katara,1
Zuko (Avatar),1
Black Family (Harry Potter),1
Merula Snyde,1
Harry Hart | Galahad,1
Parvati Patil,1
Susan Bones,1
Jeon Jungkook,1
Gertrude,1
