Family Feels,freq
Harry Potter,13
Draco Malfoy,11
Hermione Granger,9
Sirius Black,5
Severus Snape,4
Arthur Weasley,2
Molly Weasley,2
Ginny Weasley,2
Lucius Malfoy,2
Tom Riddle,2
Neville Longbottom,2
Remus Lupin,2
Clint Barton,2
Voldemort,1
Bellatrix Black Lestrange,1
Lily Evans Potter,1
Harry potter,1
Loona,1
Mary Macdonald,1
Credence Barebone,1
Original Percival Graves,1
Albus Severus Potter,1
James Sirius Potter,1
Pansy Parkinson,1
Ron Weasley,1
Original Male Character,1
Abraxas Malfoy,1
Narcissa Black Malfoy,1
Alastor,1
Angel Dust (Hazbin Hotel),1
Regulus Black,1
none,1
