Family Fluff,freq
Harry Potter,262
Draco Malfoy,149
Hermione Granger,128
Remus Lupin,72
Sirius Black,68
none,56
James Potter,50
Lily Evans Potter,45
Ginny Weasley,43
Ron Weasley,38
Severus Snape,32
Original Female Character,26
Fred Weasley,23
Luna Lovegood,21
Newt Scamander,15
George Weasley,14
Lucius Malfoy,14
Reader,14
Tom Riddle,13
Neville Longbottom,12
Percy Weasley,12
Teddy Lupin,12
Albus Severus Potter,12
Voldemort,11
Bellatrix Black Lestrange,10
Original Male Character,10
Pansy Parkinson,9
Tina Goldstein,9
Arthur Weasley,8
Bill Weasley,8
Scorpius Malfoy,8
Nymphadora Tonks,8
Molly Weasley,7
Narcissa Black Malfoy,7
Charlie Weasley,7
Oliver Wood,6
Evelyn Black,6
Fleur Delacour,6
Minerva McGonagall,5
Regulus Black,5
James Sirius Potter,5
Peter Pettigrew,4
Victoire Weasley,4
Astoria Greengrass,4
Severus snape,4
Andromeda Black Tonks,4
Theodore Nott,4
Albus Dumbledore,4
Rose Weasley,4
Padma Patil,3
Lily Luna Potter,3
Dean Thomas,3
Orion Black,3
Original Character,3
Audrey Weasley,2
Original Non - Binary Character,2
Jacob Kowalski,2
Queenie Goldstein,2
Euphemia Potter,2
Ted Tonks,2
Weasley Family,2
Petunia Evans Dursley,2
Vernon Dursley,2
Theseus Scamander,2
Martin Blackwood,2
Rubeus Hagrid,2
Cedric Diggory,2
Parvati Patil,2
Original Percival Graves,2
Blaise Zabini,2
Gellert Grindelwald,2
Walburga Black,2
Marcus Flint,2
Seamus Finnigan,2
Caspian (Narnia),1
Bellamy Blake,1
Helena Ravenclaw,1
Hannibal Lecter,1
Annabeth Chase,1
Percy Jackson,1
Rowena Ravenclaw,1
Salazar Slytherin,1
James Bucky Barnes,1
No Romantic Relationship,1
Legolas Greenleaf,1
Aurelia Zabini,1
Eventual Belphegor (Katekyou Hitman Reborn!),1
Hope Lupin,1
Lyall Lupin,1
Alec Lightwood,1
Magnus Bane,1
Terry Boot,1
Female Dovahkiin | Dragonborn,1
Original Female Imperial Character,1
Richard Winters,1
Loki,1
Danny Fenton,1
Jeon Jungkook,1
Kim Taehyung | V,1
Bilbo Baggins,1
Thorin Oakenshield,1
