Family,freq
Harry Potter,426
none,286
Hermione Granger,266
Draco Malfoy,215
Sirius Black,121
Remus Lupin,102
Ginny Weasley,101
Original Female Character,81
Severus Snape,77
James Potter,65
Lily Evans Potter,62
Ron Weasley,61
Scorpius Malfoy,33
Lucius Malfoy,33
Narcissa Black Malfoy,33
George Weasley,31
Fred Weasley,30
Albus Severus Potter,26
Bellatrix Black Lestrange,25
Percy Weasley,23
Charlie Weasley,23
Original Male Character,22
Andromeda Black Tonks,22
Nymphadora Tonks,20
Original Character,18
Luna Lovegood,18
James Sirius Potter,18
Regulus Black,17
Voldemort,16
Reader,16
Teddy Lupin,16
Fleur Delacour,15
Rose Weasley,13
Oliver Wood,13
Bill Weasley,13
Ted Tonks,13
Tom Riddle,12
Newt Scamander,12
Molly Weasley,11
Minerva McGonagall,11
Petunia Evans Dursley,11
Daphne Greengrass,10
Albus Dumbledore,10
Tina Goldstein,10
Neville Longbottom,9
Tony Stark,9
Arthur Weasley,9
Orion Black,9
Lily Luna Potter,8
Astoria Greengrass,7
Theodore Nott,7
Dudley Dursley,7
Pansy Parkinson,7
Seamus Finnigan,7
Cedric Diggory,7
Victoire Weasley,6
Edward Elric,6
Audrey Weasley,6
Padma Patil,6
Gellert Grindelwald,5
Annabeth Chase,5
Percy Jackson,5
Walburga Black,5
Edward Cullen,5
Viktor Krum,5
Weasley Family,5
Dean Thomas,5
Angelina Johnson,5
Theseus Scamander,5
Frodo Baggins,4
Winry Rockbell,4
Loki ,4
Queenie Goldstein,4
Vernon Dursley,4
Katie Bell,4
Blaise Zabini,4
Peter Pettigrew,3
Gideon Prewett,3
Dean Winchester,3
Marlene McKinnon,3
Marcus Flint,3
Justin Finch - Fletchley,3
Alastor Moody,3
Ariana Dumbledore,3
Parvati Patil,3
Ron Weasley (family),3
Hugo Weasley,3
severitus - Relationship,3
Jack Overland,2
Rhode Evans,2
Lily Evans,2
Original Non - Binary Character,2
Fabian Prewett,2
Eileen Prince,2
Tobias Snape,2
Canon Relationships - Relationship,2
Colin Creevey,2
Loki,2
Alastor Moody - Relationship,2
Rowan Khanna,2
Godric Gryffindor,2
