Fanart,freq
Harry Potter,307
Draco Malfoy,270
none,175
Hermione Granger,75
Severus Snape,61
Sirius Black,28
Newt Scamander,24
Remus Lupin,23
Tina Goldstein,19
Scorpius Malfoy,17
Albus Severus Potter,16
Teddy Lupin,15
Luna Lovegood,14
James Sirius Potter,12
Ginny Weasley,11
Tom Riddle,10
Voldemort,10
Ron Weasley,8
Lucius Malfoy,7
Neville Longbottom,6
Percy Weasley,6
Bellatrix Black Lestrange,5
Pansy Parkinson,5
James Potter,5
Gellert Grindelwald,5
Oliver Wood,5
Albus Dumbledore,4
Rose Weasley,4
Original Percival Graves,4
Original Female Character,3
Lily Evans Potter,3
Narcissa Black Malfoy,3
Nymphadora Tonks,3
Minerva McGonagall,3
Loki ,3
Parvati Patil,2
Original Character,2
Bartemius Crouch Jr.,2
Blaise Zabini,2
Viren (The Dragon Prince),2
Hugo Weasley,2
Lavender Brown,2
Regulus Black,2
Seamus Finnigan,2
Credence Barebone,2
Lorcan Scamander,2
Lysander Scamander,2
Katie Bell,2
Sesshomaru,2
Wei Ying | Wei Wuxian,1
Anthony DiNozzo,1
Jethro Gibbs,1
Viktor Krum,1
Padma Patil,1
Harvey Bullock,1
Jim Gordon,1
Creepy Pasta Family,1
Lucifer,1
Jacob Kowalski,1
Evelyn Black,1
Severus snape,1
Fleur Delacour,1
Elizabeth Bennet,1
Astoria Greengrass,1
Helga Hufflepuff,1
Salazar Slytherin,1
Hibari Kyouya,1
Armitage Hux,1
Kylo Ren,1
TriDogMom,1
Captain Flint | James McGraw,1
Miranda Barlow,1
Thomas Hamilton,1
Derek Hale,1
Stiles Stilinski,1
Logan Echolls,1
Veronica Mars,1
Dracula,1
Pennywise (It),1
Sesshoumaru (InuYasha),1
Rigel Black,1
Moaning Myrtle,1
Victoire Weasley,1
Mycroft Holmes,1
Sherlock Holmes,1
Lucy Weasley,1
Molly Weasley II,1
Amelia Bones,1
Aberforth Dumbledore,1
Tommy Shelby,1
Dominique Weasley,1
Daryl Dixon,1
Jesus (Walking Dead),1
Angelina Johnson,1
Dean Thomas,1
Hedwig,1
Peter Parker,1
Connor (AtS),1
Dawn Summers,1
Loki,1
Cormac McLaggen,1
