First Kiss,freq
Harry Potter,490
Draco Malfoy,416
Sirius Black,381
Remus Lupin,380
Hermione Granger,196
James Potter,93
Severus Snape,80
Scorpius Malfoy,78
Lily Evans Potter,69
Albus Severus Potter,65
Ginny Weasley,53
Ron Weasley,43
Reader,43
Luna Lovegood,39
Newt Scamander,35
Neville Longbottom,34
Original Female Character,32
Fred Weasley,29
Pansy Parkinson,24
Tina Goldstein,23
Tom Riddle,19
George Weasley,19
Charlie Weasley,19
Oliver Wood,18
Gellert Grindelwald,18
Regulus Black,17
Percy Weasley,17
Albus Dumbledore,17
Nymphadora Tonks,16
Credence Barebone,16
Blaise Zabini,14
Dean Thomas,13
Seamus Finnigan,12
Theodore Nott,12
Original Percival Graves,12
Teddy Lupin,12
Marlene McKinnon,11
James Sirius Potter,11
Marcus Flint,10
Viktor Krum,10
Player Character,10
Bellatrix Black Lestrange,9
Rose Weasley,9
Original Character,9
Original Male Character,9
Narcissa Black Malfoy,8
Lucius Malfoy,7
Dorcas Meadowes,6
Voldemort,6
Cho Chang,5
none,5
Lavender Brown,5
John Watson,5
Sherlock Holmes,5
Dean Winchester,5
Eddie Kaspbrak,5
Richie Tozier,5
Andromeda Black Tonks,5
Cormac McLaggen,5
Aziraphale,4
Crowley ,4
Merula Snyde,4
Victoire Weasley,4
Darcy Lewis,4
Player Character (Hogwarts Mystery),4
Daphne Greengrass,4
Hannah Abbott,4
Minerva McGonagall,4
Bill Weasley,3
Fleur Delacour,3
Castiel,3
Mary Macdonald,3
Harry Styles,3
Katie Bell,3
Emmeline Vance,3
Lee Jordan,3
Salazar Slytherin,3
Cedric Diggory,3
Colin Creevey,3
Astoria Greengrass,3
Theseus Scamander,3
Millicent Bulstrode,3
Marauders,3
Jacob Kowalski,3
Barnaby Lee,3
Drarry - Relationship,3
Merlin,3
Hannibal Lecter,2
Will Graham,2
Dudley Dursley,2
Stiles Stilinski,2
Loki ,2
Gregory Goyle,2
Luke Deveaux,2
Saint (lumosinlove),2
Louis Tomlinson,2
Percy Jackson,2
Peter Pettigrew,2
Terence Higgs,2
Skye Parkin,2
Parvati Patil,2
