First Time,freq
Harry Potter,351
Draco Malfoy,198
Severus Snape,123
Hermione Granger,120
Sirius Black,58
Remus Lupin,51
Ginny Weasley,28
Tom Riddle,23
Ron Weasley,22
Original Percival Graves,22
Credence Barebone,19
Scorpius Malfoy,19
Lucius Malfoy,17
Albus Severus Potter,17
Voldemort,16
Original Female Character,15
James Potter,13
Reader,12
Neville Longbottom,10
Teddy Lupin,9
James Sirius Potter,9
Charlie Weasley,8
Oliver Wood,7
Pansy Parkinson,7
George Weasley,7
Lily Evans Potter,6
Viktor Krum,6
Fred Weasley,6
Nymphadora Tonks,6
Newt Scamander,6
Theodore Nott,6
Luna Lovegood,6
Bellatrix Black Lestrange,5
Cedric Diggory,5
Regulus Black,4
Daphne Greengrass,4
Marcus Flint,4
Astoria Greengrass,4
Narcissa Black Malfoy,4
Albus Dumbledore,4
none,4
Percy Weasley,4
Theseus Scamander,4
Original Male Character,3
Rose Weasley,3
Lavender Brown,3
Colin Creevey,2
Quirinus Quirrell,2
Aurora Sinistra,2
Dean Thomas,2
Seamus Finnigan,2
Gellert Grindelwald,2
Fleur Delacour,2
Player Character (Hogwarts Mystery),2
Barnaby Lee,2
Original Character,2
Dobby,2
Bill Weasley,2
Cormac McLaggen,2
Victoire Weasley,2
Horace Slughorn,2
Kylo Ren,2
Peter Pettigrew,1
Hannibal Lecter,1
Will Graham,1
Ootori Kyoya,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Orion Black,1
Walburga Black,1
Yagami Light,1
Frank Zhang,1
Percy Jackson,1
Harry Styles,1
Louis Tomlinson,1
Isaac Lahey,1
Jackson Whittemore,1
Lily Evans,1
Charmont,1
OMC,1
Kreacher,1
Seraphina Picquery,1
Buffy Summers,1
Jason Isaacs,1
Tom Felton,1
O&#39;Knutzylus,1
Katie Bell,1
Antonin Dolohov,1
Gregory Goyle,1
Padma Patil,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Albus Potter,1
James Potter II,1
Harry Potter (imagination),1
Dudley Dursley,1
Blaise Zabini,1
Narcissa Black,1
Audrey Weasley,1
Byun Baekhyun,1
Oh Sehun,1
