First War with Voldemort,freq
Sirius Black,472
Remus Lupin,371
James Potter,220
Lily Evans Potter,184
Regulus Black,113
Original Female Character,65
Severus Snape,55
none,52
Harry Potter,33
Marlene McKinnon,31
Narcissa Black Malfoy,28
Bellatrix Black Lestrange,27
Hermione Granger,23
Voldemort,22
Dorcas Meadowes,16
Lucius Malfoy,16
Tom Riddle,14
Andromeda Black Tonks,13
Peter Pettigrew,11
Ted Tonks,9
Original Character,9
Evan Rosier,8
Rodolphus Lestrange,7
Lily Evans,6
Bartemius Crouch Jr.,6
Original Male Character,6
Reader,6
Molly Weasley,5
Walburga Black,5
Draco Malfoy,5
Minerva McGonagall,5
Abraxas Malfoy,5
Arthur Weasley,4
Kreacher,4
Gideon Prewett,4
Alice Longbottom,4
Ron Weasley,4
Rabastan Lestrange,3
Orion Black,3
Frank Longbottom,3
Petunia Evans Dursley,3
Albus Dumbledore,3
Black Family,3
Alastor Moody,2
James,2
Lily,2
Percy Weasley,2
Mary Macdonald,2
Remus Lupin (implied),2
Fred Weasley,2
Fabian Prewett,2
Augustus Rookwood,2
Death Eater Characters,2
Rikki Chadwick,1
lily evans,1
oc,1
Argus Filch,1
Luna Lovegood,1
Canon Relationships - Relationship,1
Alecto Carrow,1
Avery Jr.,1
Astoria Greengrass,1
Pansy Parkinson,1
Minerva McGonagal,1
Merula Snyde&#39;s Father,1
Merula Snyde&#39;s Mother,1
Slytherin Students,1
Ginny Weasley,1
Arcturus Black III,1
Marauders,1
Doctor Granger,1
Draco,1
Hermione,1
Relationships will be added on the way,1
Charlus Potter,1
Dorea Black Potter,1
George Weasley,1
Lestrange Sr.,1
Emmeline Vance,1
Benjy Fenwick,1
Lily Luna Potter,1
Teddy Lupin,1
Charlie Weasley,1
Horace Slughorn,1
Kingsley Shacklebolt,1
hey is that jily? maybe,1
Narcissa Black,1
Martha Wayne,1
Thomas Wayne,1
Bruce Wayne,1
Ludo Bagman,1
Fenrir Greyback,1
Nymphadora Tonks,1
Mrs Cole,1
Lee Donghae,1
Lee Hyukjae | Eunhyuk,1
Antonin Dolohov,1
Euphemia Potter,1
Alphard Black,1
Wilkes,1
Bill Weasley,1
