First War with Voldemort,freq
Sirius Black,35
Remus Lupin,27
Severus Snape,13
James Potter,12
Lily Evans Potter,10
Bellatrix Black Lestrange,8
Voldemort,8
Narcissa Black Malfoy,7
Lucius Malfoy,6
Original Female Character,4
Lily Evans,4
Hermione Granger,4
Harry Potter,3
Regulus Black,3
Tom Riddle,2
Draco Malfoy,1
Kreacher,1
Bartemius Crouch Jr.,1
Original Character,1
Albus Dumbledore,1
Minerva McGonagall,1
Marlene McKinnon,1
Peter Pettigrew,1
Reader,1
Andromeda Black Tonks,1
Ted Tonks,1
Alice Longbottom,1
