Flirting,freq
Harry Potter,215
Draco Malfoy,208
Hermione Granger,138
Sirius Black,106
Remus Lupin,89
Severus Snape,33
Reader,31
Original Female Character,30
Pansy Parkinson,26
James Potter,26
Ginny Weasley,21
Lily Evans Potter,19
Neville Longbottom,18
Bellatrix Black Lestrange,18
Charlie Weasley,16
Fred Weasley,15
none,14
Scorpius Malfoy,13
Tom Riddle,12
Ron Weasley,11
Original Percival Graves,11
Albus Severus Potter,9
George Weasley,9
Regulus Black,8
Oliver Wood,8
Luna Lovegood,8
Credence Barebone,8
Blaise Zabini,7
Teddy Lupin,7
Percy Weasley,6
Lily Luna Potter,6
Theodore Nott,6
Voldemort,5
Newt Scamander,5
Nymphadora Tonks,5
Jeon Jungkook,5
Kim Taehyung | V,5
Narcissa Black Malfoy,4
Daphne Greengrass,4
Bill Weasley,4
Katie Bell,4
Cedric Diggory,3
Lucius Malfoy,3
Gellert Grindelwald,3
Marcus Flint,3
James Sirius Potter,3
Tina Goldstein,3
Viktor Krum,3
Henry Emily,2
William Afton | Dave Miller,2
Prince Charmont (Ella Enchanted),2
Tony Stark,2
Stiles Stilinski,2
Minerva McGonagall,2
Romilda Vane,2
James Bucky Barnes,2
Steve Rogers,2
Marlene McKinnon,2
Cho Chang,2
Fleur Delacour,2
Millicent Bulstrode,2
Seamus Finnigan,2
Hannah Abbott,2
Original Male Character,2
Adrian Pucey,2
Astoria Greengrass,2
Wen Kexing,1
Zhou Zishu,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Hannibal Lecter,1
Will Graham,1
L,1
Yagami Light,1
Johann Struensee,1
Penny Haywood,1
Harry Hart | Galahad,1
Emmeline Vance,1
Mary Macdonald,1
Poe Dameron,1
Female Character,1
Horace Slughorn,1
Frank Zhang,1
Percy Jackson,1
Pomona Sprout,1
Arthur Weasley,1
Aragorn | Estel,1
Andrew Kirke,1
Fay Dunbar,1
Kaecilius,1
Poppy Pomfrey,1
Thorfinn Rowle,1
Victoire Weasley,1
Marian Raito (Original Character),1
Anthony Goldstein,1
Luke Patterson,1
Reggie Peters (Julie and The Phantoms),1
Bakugou Katsuki,1
Kirishima Eijirou,1
Derek Hale,1
