Flirting,freq
Draco Malfoy,47
Harry Potter,46
Hermione Granger,43
Sirius Black,14
Remus Lupin,12
Severus Snape,8
Bellatrix Black Lestrange,8
Original Female Character,7
Ron Weasley,6
Charlie Weasley,6
Credence Barebone,6
Original Percival Graves,6
Fred Weasley,5
Scorpius Malfoy,4
Reader,3
none,3
Voldemort,3
Lily Luna Potter,3
Prince Charmont (Ella Enchanted),2
Tom Riddle,2
Regulus Black,2
Romilda Vane,2
Pansy Parkinson,2
Albus Severus Potter,2
Hannah Abbott,2
Lucius Malfoy,2
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Hannibal Lecter,1
Will Graham,1
Johann Struensee,1
Penny Haywood,1
Harry Hart | Galahad,1
Tony Stark,1
Horace Slughorn,1
Frank Zhang,1
Percy Jackson,1
Kaecilius,1
James T. Kirk,1
Peter Quill,1
James Sirius Potter,1
Neville Longbottom,1
Luna Lovegood,1
Teddy Lupin,1
Angelina Johnson,1
Ginny Weasley,1
Theodore Nott,1
Geralt of Rivia,1
George Weasley,1
Cedric Diggory,1
Adrian Pucey,1
Min Yoongi | Suga,1
